Model,Mi550,
Serial Number,3526471001,

User Name,User01,
Location,Location01,

Wire Mode,3P4W_3CT,
Frequency(Hz),50,
Nominal Voltage(V),380,

Date,Time,Phase Voltage(V),,,,,Line Voltage(V),,,,Current(A),,,,,Frequency(Hz),Power Factor,,,,Displacement Power Factor,,,,Active Power(kW),,,,Reactive Power(kVar),,,,Apparent Power(kVA),,,,Active Energy Import(Wh),,,,Active Energy Export(Wh),,,,Reactive Energy Import(Varh),,,,Reactive Energy Export(Varh),,,,Apparent Energy(VAh),,,,Voltage THD(%),,,Voltage Odd THD(%),,,Voltage Even THD(%),,,Current THD(%),,,Current Odd THD(%),,,Current Even THD(%),,,Phase Voltage Peak(V),,,Phase VoltageCrest Factor,,,CurrentCrest Factor,,,Current K Factor,,,Voltage  Unbalance(%),,Current Unbalance(%),,Voltage Phase Angle(°),,,Current Phase Angle(°),,,Angle Between Voltages(°),,,Angle Between Currents(°),,,Voltage Current Angle(°),,,Phase Voltage Max.(V),,,,,Phase Voltage Min.(V),,,,,Line Voltage Max.(V),,,,Line Voltage Min.(V),,,,Current Max.(A),,,,,Current Min.(A),,,,,Frequency Max.(Hz),Frequency min.(Hz),Power Factor Max.,,,,Power Factor Min.,,,,Displacement Power Factor Max.,,,,Displacement Power Factor Min.,,,,Active Power Max.(kW),,,,Active Power Min.(kW),,,,Reactive Power Max.(kVar),,,,Reactive Power Min.(kVar),,,,Apparent Power Max.(kVA),,,,Apparent Power Min.(kVA),,,,Current Demand(A),,,,Active Power Demand(kW),,,,Reactive Power Demand(kVar),,,,Apparent Power Demand(kVA),,,,Current Demand Max.(A),,,,Active Power Demand Max.(kW),,,,Reactive Power Demand Max.(kVar),,,,Apparent Power Demand Max.(kVA),,,
,,UA,UB,UC,UAvg,UN,UAB,UBC,UCA,UAvg,IA,IB,IC,IAvg,IN,FA,PFA,PFB,PFC,PFTotal,DPFA,DPFB,DPFC,DPFTotal,PA,PB,PC,PSum,QA,QB,QC,QSum,SA,SB,SC,SSum,EPA_imp,EPB_imp,EPC_imp,EPSum_imp,EPA_exp,EPB_exp,EPC_exp,EPSum_exp,EQA_imp,EQB_imp,EQC_imp,EQSum_imp,EQA_exp,EQB_exp,EQC_exp,EQSum_exp,ESA,ESB,ESC,ESSUM,UA-THD,UB-THD,UC-THD,UA-TOHD,UB-TOHD,UC-TOHD,UA-TEHD,UB-TEHD,UC-TEHD,IA-THD,IB-THD,IC-THD,IA-TOHD,IB-TOHD,IC-TOHD,IA-TEHD,IB-TEHD,IC-TEHD,UA-pk,UB-pk,UC-pk,UA-CF,UB-CF,UC-CF,IA-CF,IB-CF,IC-CF,IA-KF,IB-KF,IC-KF,Negative,Zero,Negative,Zero,UA-angle,UB-angle,UC-angle,IA-angle,IB-angle,IC-angle,UAB-angle,UBC-angle,UCA-angle,IAB-angle,IBC-angle,ICA-angle,UIA-angle,UIB-angle,UIC-angle,UA-max,UB-max,UC-max,UAvg-max,UN-max,UA-min,UB-min,UC-min,UAvg-min,UN-min,UAB-max,UBC-max,UCA-max,UAvg-max,UAB-min,UBC-min,UCA-min,UAvg-min,IA-max,IB-max,IC-max,IAvg-max,IN-max,IA-min,IB-min,IC-min,IAvg-min,IN-min,FA-max,FA-min,PFA-max,PFB-max,PFC-max,PFTotal-max,PFA-min,PFB-min,PFC-min,PFTotal-min,DPFA-max,DPFB-max,DPFC-max,DPFTotal-max,DPFA-min,DPFB-min,DPFC-min,DPFTotal-min,PA-max,PB-max,PC-max,PSum-max,PA-min,PB-min,PC-min,PSum-min,QA-max,QB-max,QC-max,QSum-max,QA-min,QB-min,QC-min,QSum-min,SA-max,SB-max,SC-max,SSum-max,SA-min,SB-min,SC-min,SSum-min,IA,IB,IC,IAVG,PA,PB,PC,PSUM,QA,QB,QC,QSUM,SA,SB,SC,SSUM,IA-max,IB-max,IC-max,IAVG-max,PA-max,PB-max,PC-max,PSUM-max,QA-max,QB-max,QC-max,QSUM-max,SA-max,SB-max,SC-max,SSUM-max
2026/08/05,10:06:53,234.91,4.14,234.66,157.93,0.00,238.37,105.48,407.78,250.54,47.69,28.14,34.83,37.04,17.85,50.06,0.988,-0.041,0.994,0.984,0.992,-0.042,0.998,0.988,11.10,-0.00,8.13,19.22,1.44,-0.12,0.48,1.80,11.24,0.12,8.18,19.54,887,12,1145,2044,3467,2794,3401,9662,125,2,75,202,654,950,744,2348,4545,3116,5766,13427,1.887,11.606,1.591,1.881,11.591,1.590,0.149,0.586,0.072,8.751,13.796,8.485,8.402,11.134,7.135,2.448,8.145,4.592,326.322,6.334,326.451,1.389,1.532,1.393,1.540,1.709,1.517,1.110,1.213,1.096,50.510,49.675,16.244,16.389,0.000,146.514,120.551,351.316,240.451,115.980,146.514,334.037,120.551,111.129,124.207,235.336,8.684,266.063,4.570,242.470,256.412,244.990,235.387,0.000,0.016,0.016,0.015,0.019,0.000,435.774,441.691,426.945,406.742,0.000,0.000,0.000,0.000,72.838,78.522,95.917,41.830,93.175,0.201,0.000,0.096,0.394,0.698,50.307,46.549,1.000,0.990,0.999,1.000,-0.750,-0.830,-0.839,-0.250,1.000,1.000,1.000,1.000,-1.000,-1.000,-1.000,-1.000,11.114,6.590,9.035,23.717,-0.011,-0.085,-0.081,-0.002,1.620,0.420,1.059,2.103,-0.051,-0.133,-0.045,-0.021,11.249,7.298,9.100,23.963,0.000,0.000,0.000,0.000,23.802,21.335,26.652,23.930,0.072,0.015,0.496,0.583,0.010,-0.004,0.042,0.048,0.079,0.037,0.509,0.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,10:06:58,234.56,4.13,234.49,157.96,0.00,238.03,106.48,407.36,250.62,47.78,28.10,34.88,36.94,18.60,50.06,0.986,-0.041,0.990,0.981,0.991,-0.042,0.998,0.988,11.01,-0.00,8.12,19.13,1.48,-0.12,0.57,1.93,11.17,0.12,8.21,19.50,900,12,1154,2066,3467,2794,3401,9662,127,2,75,204,654,950,744,2348,4558,3116,5775,13449,1.872,11.643,1.614,1.871,11.630,1.611,0.078,0.553,0.096,8.615,10.534,11.810,8.466,9.373,8.625,1.597,4.806,8.067,325.781,6.260,326.606,1.387,1.521,1.392,1.544,1.655,1.536,1.110,1.192,1.106,50.515,49.656,15.472,16.527,0.000,146.813,120.568,353.549,239.766,115.822,146.813,333.756,120.568,113.977,123.592,237.568,6.451,267.047,4.746,235.235,4.153,235.117,157.989,0.000,234.215,4.107,233.829,157.935,0.000,238.711,107.832,408.552,251.077,237.669,104.476,406.513,250.638,48.119,28.558,35.241,37.036,18.857,47.177,27.883,34.721,36.936,17.677,50.061,50.057,0.988,-0.041,0.994,0.984,0.986,-0.041,0.990,0.981,0.992,-0.042,0.998,0.988,0.991,-0.042,0.998,0.988,11.101,-0.004,8.128,19.224,11.015,-0.005,8.119,19.130,1.479,-0.116,0.566,1.928,1.438,-0.117,0.479,1.801,11.257,0.119,8.214,19.559,11.166,0.117,8.180,19.498,23.802,21.335,26.652,23.930,0.072,0.015,0.496,0.583,0.010,-0.004,0.042,0.048,0.079,0.037,0.509,0.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,10:07:03,234.47,4.13,234.55,157.66,0.00,237.94,106.41,407.63,250.66,47.98,28.41,34.84,37.08,17.88,50.06,0.987,-0.041,0.995,0.984,0.992,-0.042,0.998,0.988,11.11,-0.00,8.14,19.25,1.41,-0.12,0.50,1.80,11.25,0.12,8.19,19.55,919,12,1168,2099,3467,2794,3401,9662,130,2,76,208,654,950,744,2348,4577,3116,5789,13482,1.884,11.672,1.632,1.877,11.652,1.631,0.163,0.684,0.066,8.524,13.857,7.254,8.365,10.797,6.763,1.643,8.686,2.624,325.734,6.322,326.171,1.390,1.533,1.391,1.557,1.703,1.501,1.109,1.213,1.093,50.620,49.548,18.148,15.024,0.000,146.936,120.709,349.629,239.590,117.967,146.936,333.773,120.709,110.391,122.221,231.855,10.371,267.346,2.742,235.058,4.136,235.087,157.960,0.000,233.643,4.100,234.209,157.664,0.000,238.528,107.294,408.819,250.754,237.100,104.493,406.849,250.202,48.408,29.186,35.124,37.078,18.690,47.552,28.007,34.669,36.936,17.571,50.061,50.055,0.988,-0.041,0.995,0.984,0.986,-0.042,0.990,0.981,0.992,-0.042,0.998,0.988,0.991,-0.042,0.998,0.988,11.113,-0.004,8.148,19.250,11.015,-0.005,8.119,19.130,1.479,-0.115,0.566,1.928,1.415,-0.117,0.494,1.801,11.253,0.117,8.214,19.553,11.166,0.116,8.180,19.498,23.802,21.335,26.652,23.930,0.072,0.015,0.496,0.583,0.010,-0.004,0.042,0.048,0.079,0.037,0.509,0.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,10:07:08,234.60,4.11,234.62,157.74,0.00,238.04,105.33,407.73,250.37,48.27,28.29,34.89,37.12,18.79,50.05,0.985,-0.041,0.994,0.983,0.992,-0.053,0.998,0.988,11.18,-0.00,8.17,19.34,1.43,-0.12,0.51,1.82,11.34,0.12,8.21,19.67,935,12,1180,2127,3467,2794,3401,9662,132,2,77,211,654,951,744,2349,4593,3116,5800,13509,1.867,11.635,1.619,1.855,11.614,1.617,0.205,0.706,0.075,13.968,9.224,8.419,11.520,9.003,7.160,7.898,2.006,4.429,325.682,6.205,326.380,1.388,1.508,1.391,1.640,1.650,1.521,1.128,1.182,1.096,50.600,49.582,20.395,13.041,0.000,146.619,120.674,348.732,237.111,120.568,146.619,334.055,120.674,112.148,115.523,227.672,11.268,269.508,0.105,234.986,4.133,235.067,157.871,0.000,233.543,4.093,234.203,157.664,0.000,238.435,107.378,408.879,250.660,236.984,104.469,406.814,250.203,48.784,28.710,35.101,37.307,19.022,47.722,28.221,34.766,37.048,17.883,50.059,50.053,0.988,-0.041,0.995,0.985,0.985,-0.041,0.994,0.983,0.992,-0.042,0.998,0.989,0.992,-0.053,0.998,0.988,11.185,-0.005,8.171,19.344,11.113,-0.005,8.142,19.250,1.447,-0.115,0.513,1.826,1.388,-0.116,0.494,1.773,11.341,0.117,8.212,19.671,11.246,0.117,8.190,19.553,23.802,21.335,26.652,23.930,0.072,0.015,0.496,0.583,0.010,-0.004,0.042,0.048,0.079,0.037,0.509,0.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,10:07:13,234.73,4.13,234.88,157.75,0.00,238.19,105.77,407.89,250.62,48.19,28.38,34.75,37.20,18.44,50.06,0.986,-0.041,0.991,0.984,0.992,-0.042,0.998,0.988,11.17,-0.00,8.13,19.30,1.43,-0.11,0.53,1.85,11.30,0.12,8.18,19.60,951,12,1192,2155,3467,2794,3401,9662,134,2,78,214,654,951,744,2349,4610,3116,5812,13538,1.873,11.624,1.643,1.871,11.609,1.640,0.096,0.585,0.104,9.395,13.249,7.585,8.750,10.715,6.777,3.420,7.792,3.407,325.614,6.318,326.940,1.387,1.536,1.392,1.564,1.646,1.491,1.107,1.203,1.092,50.532,49.648,17.715,14.234,0.000,146.619,120.586,353.760,237.375,119.021,146.619,333.967,120.586,117.105,117.949,235.055,6.240,269.244,1.564,235.010,4.130,235.120,157.892,0.000,233.953,4.097,234.150,157.680,0.000,238.467,107.746,408.632,251.301,237.399,104.545,406.822,250.139,48.914,28.605,35.338,37.253,18.442,47.909,28.162,34.619,37.143,18.017,50.059,50.054,0.987,-0.041,0.993,0.984,0.983,-0.042,0.988,0.980,0.992,-0.042,0.998,0.989,0.992,-0.053,0.998,0.988,11.186,-0.005,8.151,19.333,11.162,-0.005,8.128,19.298,1.434,-0.115,0.534,1.849,1.418,-0.116,0.489,1.801,11.341,0.117,8.256,19.703,11.304,0.116,8.183,19.604,23.802,21.335,26.652,23.930,0.072,0.015,0.496,0.583,0.010,-0.004,0.042,0.048,0.079,0.037,0.509,0.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,10:07:18,234.56,4.11,234.71,157.84,0.00,238.02,105.98,407.92,250.64,48.53,28.45,34.88,37.02,18.45,50.06,0.986,-0.042,0.993,0.983,0.992,-0.042,0.998,0.988,11.21,-0.00,8.11,19.31,1.44,-0.11,0.53,1.86,11.35,0.12,8.18,19.64,967,12,1203,2182,3467,2794,3401,9662,136,2,78,216,654,951,744,2349,4626,3117,5824,13567,1.871,11.622,1.633,1.868,11.610,1.632,0.103,0.522,0.033,10.077,12.787,10.055,8.925,10.551,7.878,4.679,7.225,6.249,325.440,6.254,326.449,1.387,1.521,1.391,1.584,1.757,1.552,1.109,1.198,1.104,50.648,49.525,18.021,14.348,0.000,146.848,120.744,354.656,238.148,120.059,146.848,333.896,120.744,116.947,116.578,233.350,5.344,268.699,0.686,234.987,4.129,235.227,158.110,0.000,234.128,4.103,234.324,157.565,0.000,238.433,107.402,408.700,250.971,237.606,104.448,407.326,250.305,48.768,28.659,34.912,37.200,19.313,47.897,28.121,34.576,37.016,18.287,50.061,50.049,0.988,-0.041,0.994,0.985,0.986,-0.042,0.991,0.983,0.992,-0.042,0.998,0.988,0.992,-0.053,0.998,0.988,11.206,-0.005,8.128,19.309,11.156,-0.005,8.089,19.270,1.467,-0.115,0.537,1.884,1.412,-0.115,0.502,1.803,11.350,0.117,8.183,19.643,11.300,0.116,8.150,19.584,23.802,21.335,26.652,23.930,0.072,0.015,0.496,0.583,0.010,-0.004,0.042,0.048,0.079,0.037,0.509,0.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,10:07:23,234.64,4.12,234.91,157.72,0.00,238.11,106.39,408.16,250.89,48.30,28.51,34.94,37.37,18.92,50.06,0.985,-0.041,0.991,0.983,0.992,-0.042,0.998,0.988,11.23,-0.00,8.14,19.36,1.42,-0.12,0.53,1.83,11.37,0.12,8.21,19.70,979,12,1212,2203,3467,2794,3401,9662,137,2,79,218,654,951,744,2349,4639,3117,5833,13589,1.884,11.597,1.615,1.875,11.579,1.614,0.180,0.658,0.051,9.317,13.202,8.073,8.758,10.595,6.993,3.178,7.877,4.034,325.584,6.354,326.602,1.390,1.541,1.392,1.541,1.670,1.498,1.104,1.205,1.093,50.646,49.523,17.900,14.362,0.000,146.936,120.744,351.475,236.092,117.387,146.936,333.809,120.744,115.717,118.371,234.088,8.525,270.844,3.357,235.087,4.130,235.364,158.086,0.000,233.990,4.102,234.212,157.725,0.000,238.561,107.673,409.205,251.018,237.435,104.445,406.726,250.477,48.885,29.310,35.233,37.372,19.801,48.101,28.142,34.675,37.016,18.405,50.061,50.058,0.987,-0.041,0.993,0.983,0.985,-0.042,0.989,0.980,0.992,-0.042,0.998,0.988,0.992,-0.042,0.998,0.988,11.226,-0.005,8.142,19.363,11.206,-0.005,8.108,19.309,1.441,-0.115,0.532,1.858,1.413,-0.117,0.530,1.829,11.381,0.119,8.220,19.719,11.347,0.117,8.176,19.643,23.802,21.335,26.652,23.930,0.072,0.015,0.496,0.583,0.010,-0.004,0.042,0.048,0.079,0.037,0.509,0.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,10:07:28,234.54,4.11,234.72,157.82,0.00,237.98,104.57,407.73,250.09,48.62,28.43,34.98,37.27,18.29,50.06,0.987,-0.041,0.994,0.983,0.992,-0.053,0.998,0.988,11.23,-0.00,8.16,19.38,1.43,-0.12,0.53,1.84,11.38,0.12,8.21,19.71,995,12,1224,2231,3467,2794,3401,9662,139,2,80,221,654,951,744,2349,4655,3117,5845,13617,2.140,11.782,1.936,2.137,11.768,1.932,0.113,0.577,0.118,9.101,13.101,11.510,8.417,10.765,9.007,3.461,7.467,7.166,325.479,6.331,326.548,1.388,1.539,1.393,1.549,1.659,1.574,1.106,1.188,1.111,50.591,49.600,16.686,15.358,0.000,146.408,120.656,348.768,232.260,111.902,146.408,334.248,120.656,116.754,120.111,236.865,11.232,274.148,8.754,234.719,4.131,235.033,157.853,0.000,233.877,4.098,233.848,157.601,0.000,238.184,107.447,408.386,250.998,237.321,104.324,406.471,250.178,48.972,28.855,35.247,37.374,19.787,48.164,28.069,34.756,37.274,18.272,50.064,50.056,0.987,-0.041,0.994,0.983,0.985,-0.041,0.991,0.982,0.992,-0.042,0.998,0.988,0.992,-0.053,0.998,0.988,11.226,-0.005,8.160,19.380,11.220,-0.005,8.139,19.357,1.428,-0.116,0.532,1.837,1.416,-0.117,0.503,1.803,11.405,0.119,8.214,19.715,11.374,0.117,8.193,19.701,23.802,21.335,26.652,23.930,0.072,0.015,0.496,0.583,0.010,-0.004,0.042,0.048,0.079,0.037,0.509,0.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,10:07:33,234.67,4.12,234.91,158.09,0.00,238.13,105.84,407.97,250.64,48.85,28.54,35.03,37.29,19.19,50.07,0.988,-0.041,0.993,0.985,0.992,-0.052,0.998,0.988,11.33,-0.00,8.17,19.49,1.46,-0.12,0.54,1.88,11.45,0.12,8.22,19.79,1011,12,1236,2259,3467,2794,3401,9662,141,2,80,223,654,951,744,2349,4671,3117,5857,13645,2.053,11.634,1.749,2.036,11.605,1.747,0.265,0.828,0.065,9.950,12.591,8.747,9.101,10.701,7.353,4.022,6.634,4.736,325.885,6.296,326.641,1.389,1.530,1.392,1.566,1.702,1.485,1.108,1.195,1.097,50.572,49.606,18.340,16.435,0.000,146.689,120.639,349.594,242.350,118.494,146.689,333.949,120.639,107.771,122.660,230.766,10.406,264.340,2.145,235.152,4.134,235.237,158.094,0.000,234.060,4.103,234.348,157.594,0.000,238.617,107.439,408.956,251.090,237.529,104.268,406.849,250.094,49.180,29.321,35.350,37.371,20.631,48.328,28.118,34.830,37.258,18.294,50.073,50.064,0.988,-0.041,0.994,0.985,0.985,-0.042,0.989,0.979,0.992,-0.042,0.998,0.989,0.992,-0.053,0.998,0.988,11.326,-0.005,8.168,19.488,11.225,-0.005,8.150,19.378,1.456,-0.115,0.537,1.876,1.393,-0.117,0.499,1.787,11.454,0.119,8.251,19.812,11.379,0.116,8.214,19.711,23.802,21.335,26.652,23.930,0.072,0.015,0.496,0.583,0.010,-0.004,0.042,0.048,0.079,0.037,0.509,0.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,10:07:38,234.76,4.12,234.83,157.88,0.00,238.22,105.77,408.37,250.79,48.93,27.36,35.27,37.22,18.82,50.08,0.988,-0.032,0.992,0.983,0.992,-0.043,0.998,0.989,11.34,-0.00,8.20,19.54,1.44,-0.11,0.51,1.84,11.48,0.11,8.28,19.87,1028,12,1247,2287,3467,2794,3401,9662,143,2,81,226,654,952,744,2350,4687,3117,5868,13672,2.002,11.692,1.731,2.000,11.668,1.729,0.100,0.754,0.087,8.311,9.790,10.034,8.102,9.159,8.014,1.850,3.460,6.037,326.197,6.363,326.643,1.388,1.541,1.391,1.552,1.634,1.542,1.098,1.188,1.105,50.716,49.458,17.896,16.743,0.000,146.865,120.832,353.127,240.029,117.615,146.865,333.967,120.832,113.643,121.869,235.512,6.873,266.836,3.217,235.407,4.136,235.455,158.094,0.000,233.811,4.092,233.925,157.802,0.000,238.875,107.641,409.550,250.996,237.263,104.610,407.460,250.572,49.427,28.710,35.578,37.419,19.510,48.599,26.890,34.354,37.215,18.715,50.077,50.069,0.988,-0.032,0.994,0.985,0.985,-0.042,0.992,0.983,0.993,-0.042,0.998,0.989,0.992,-0.052,0.997,0.988,11.358,-0.004,8.203,19.539,11.321,-0.005,8.125,19.441,1.456,-0.113,0.563,1.876,1.383,-0.117,0.513,1.832,11.505,0.119,8.283,19.873,11.451,0.114,8.184,19.754,23.802,21.335,26.652,23.930,0.072,0.015,0.496,0.583,0.010,-0.004,0.042,0.048,0.079,0.037,0.509,0.626,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
