Model,Mi550,
Serial Number,3526471001,

User Name,User01,
Location,Location01,

Wire Mode,3P4W_3CT,
Frequency(Hz),50,
Nominal Voltage(V),380,

Date,Time,Phase Voltage(V),,,,,Line Voltage(V),,,,Current(A),,,,,Frequency(Hz),Power Factor,,,,Displacement Power Factor,,,,Active Power(kW),,,,Reactive Power(kVar),,,,Apparent Power(kVA),,,,Active Energy Import(Wh),,,,Active Energy Export(Wh),,,,Reactive Energy Import(Varh),,,,Reactive Energy Export(Varh),,,,Apparent Energy(VAh),,,,Voltage THD(%),,,Voltage Odd THD(%),,,Voltage Even THD(%),,,Current THD(%),,,Current Odd THD(%),,,Current Even THD(%),,,Phase Voltage Peak(V),,,Phase VoltageCrest Factor,,,CurrentCrest Factor,,,Current K Factor,,,Voltage  Unbalance(%),,Current Unbalance(%),,Voltage Phase Angle(°),,,Current Phase Angle(°),,,Angle Between Voltages(°),,,Angle Between Currents(°),,,Voltage Current Angle(°),,,Phase Voltage Max.(V),,,,,Phase Voltage Min.(V),,,,,Line Voltage Max.(V),,,,Line Voltage Min.(V),,,,Current Max.(A),,,,,Current Min.(A),,,,,Frequency Max.(Hz),Frequency min.(Hz),Power Factor Max.,,,,Power Factor Min.,,,,Displacement Power Factor Max.,,,,Displacement Power Factor Min.,,,,Active Power Max.(kW),,,,Active Power Min.(kW),,,,Reactive Power Max.(kVar),,,,Reactive Power Min.(kVar),,,,Apparent Power Max.(kVA),,,,Apparent Power Min.(kVA),,,,Current Demand(A),,,,Active Power Demand(kW),,,,Reactive Power Demand(kVar),,,,Apparent Power Demand(kVA),,,,Current Demand Max.(A),,,,Active Power Demand Max.(kW),,,,Reactive Power Demand Max.(kVar),,,,Apparent Power Demand Max.(kVA),,,
,,UA,UB,UC,UAvg,UN,UAB,UBC,UCA,UAvg,IA,IB,IC,IAvg,IN,FA,PFA,PFB,PFC,PFTotal,DPFA,DPFB,DPFC,DPFTotal,PA,PB,PC,PSum,QA,QB,QC,QSum,SA,SB,SC,SSum,EPA_imp,EPB_imp,EPC_imp,EPSum_imp,EPA_exp,EPB_exp,EPC_exp,EPSum_exp,EQA_imp,EQB_imp,EQC_imp,EQSum_imp,EQA_exp,EQB_exp,EQC_exp,EQSum_exp,ESA,ESB,ESC,ESSUM,UA-THD,UB-THD,UC-THD,UA-TOHD,UB-TOHD,UC-TOHD,UA-TEHD,UB-TEHD,UC-TEHD,IA-THD,IB-THD,IC-THD,IA-TOHD,IB-TOHD,IC-TOHD,IA-TEHD,IB-TEHD,IC-TEHD,UA-pk,UB-pk,UC-pk,UA-CF,UB-CF,UC-CF,IA-CF,IB-CF,IC-CF,IA-KF,IB-KF,IC-KF,Negative,Zero,Negative,Zero,UA-angle,UB-angle,UC-angle,IA-angle,IB-angle,IC-angle,UAB-angle,UBC-angle,UCA-angle,IAB-angle,IBC-angle,ICA-angle,UIA-angle,UIB-angle,UIC-angle,UA-max,UB-max,UC-max,UAvg-max,UN-max,UA-min,UB-min,UC-min,UAvg-min,UN-min,UAB-max,UBC-max,UCA-max,UAvg-max,UAB-min,UBC-min,UCA-min,UAvg-min,IA-max,IB-max,IC-max,IAvg-max,IN-max,IA-min,IB-min,IC-min,IAvg-min,IN-min,FA-max,FA-min,PFA-max,PFB-max,PFC-max,PFTotal-max,PFA-min,PFB-min,PFC-min,PFTotal-min,DPFA-max,DPFB-max,DPFC-max,DPFTotal-max,DPFA-min,DPFB-min,DPFC-min,DPFTotal-min,PA-max,PB-max,PC-max,PSum-max,PA-min,PB-min,PC-min,PSum-min,QA-max,QB-max,QC-max,QSum-max,QA-min,QB-min,QC-min,QSum-min,SA-max,SB-max,SC-max,SSum-max,SA-min,SB-min,SC-min,SSum-min,IA,IB,IC,IAVG,PA,PB,PC,PSUM,QA,QB,QC,QSUM,SA,SB,SC,SSUM,IA-max,IB-max,IC-max,IAVG-max,PA-max,PB-max,PC-max,PSUM-max,QA-max,QB-max,QC-max,QSUM-max,SA-max,SB-max,SC-max,SSUM-max
2026/08/05,12:02:48,237.33,240.60,237.24,238.26,0.00,413.77,410.53,411.55,411.95,23.19,15.82,27.74,22.32,47.09,50.00,-0.957,0.951,0.971,0.289,-0.985,0.968,0.986,0.296,-5.37,3.57,6.41,4.61,-0.94,0.93,1.09,1.08,5.61,3.77,6.57,15.95,7371,3015,4966,15352,6118,6527,7526,20171,1106,862,836,2804,1189,2006,1535,4730,13913,10221,14020,38154,2.148,2.064,1.893,2.147,2.063,1.890,0.070,0.080,0.107,14.774,24.242,17.920,14.189,19.132,14.848,4.116,14.887,10.033,328.443,332.577,329.142,1.384,1.382,1.388,1.598,1.844,1.668,1.202,1.323,1.166,0.328,0.596,235.635,225.317,0.000,240.064,120.270,169.436,228.480,105.803,240.064,240.223,120.270,300.955,118.055,63.633,190.564,11.584,14.467,248.195,273.348,252.869,239.074,0.000,0.024,0.020,0.018,0.031,0.000,436.232,436.468,465.920,413.226,0.015,0.032,0.013,0.029,39.198,31.212,36.461,27.128,62.454,3.251,5.861,1.332,13.272,23.257,50.133,50.000,0.636,0.952,0.980,1.000,-0.973,-0.967,-0.372,-0.874,0.700,1.000,1.000,1.000,-0.997,-1.000,-0.833,-1.000,0.008,3.597,6.592,6.657,-8.527,-6.221,-0.024,-7.748,0.010,0.927,1.139,1.123,-1.577,-1.292,-0.018,-1.774,8.804,6.500,6.771,19.222,0.000,0.000,0.000,0.000,22.052,22.617,15.867,20.179,-2.929,-3.459,2.364,-4.024,-0.782,-0.899,0.592,-1.089,3.069,3.654,2.506,9.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,12:02:53,237.32,240.67,237.24,238.07,0.00,413.74,410.77,411.39,411.97,23.82,15.57,27.87,22.41,47.43,49.99,-0.965,0.939,0.977,0.285,-0.985,0.969,0.986,0.291,-5.43,3.58,6.42,4.57,-0.95,0.90,1.08,1.04,5.64,3.79,6.59,16.01,7371,3020,4975,15366,6126,6527,7526,20179,1106,863,837,2806,1190,2006,1535,4731,13921,10226,14029,38176,1.886,1.836,1.574,1.885,1.832,1.572,0.065,0.126,0.076,19.245,15.516,11.331,16.759,15.128,11.230,9.459,3.449,1.504,328.072,332.724,329.041,1.383,1.383,1.388,1.665,1.734,1.564,1.235,1.296,1.137,0.353,0.554,224.378,229.662,0.000,240.100,120.199,174.516,224.227,108.457,240.100,240.100,120.199,309.076,115.770,66.059,185.484,15.873,11.742,237.360,240.667,237.267,238.262,0.000,236.569,239.914,236.764,238.073,0.000,413.904,410.768,411.736,411.979,412.321,409.579,410.719,411.370,24.167,15.979,28.026,22.410,47.786,23.054,15.386,27.497,22.135,47.046,50.004,49.989,-0.957,0.952,0.977,0.289,-0.972,0.939,0.971,0.285,-0.984,0.969,0.986,0.296,-0.985,0.968,0.986,0.291,-5.367,3.578,6.432,4.607,-5.426,3.566,6.408,4.572,-0.940,0.927,1.110,1.077,-0.949,0.904,1.084,1.040,5.636,3.808,6.588,16.015,5.556,3.754,6.567,15.900,22.052,22.617,15.867,20.179,-2.929,-3.459,2.364,-4.024,-0.782,-0.899,0.592,-1.089,3.069,3.654,2.506,9.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,12:02:58,237.53,240.56,237.51,238.47,0.00,414.27,410.93,411.70,412.30,23.32,15.76,27.92,22.31,47.51,49.99,-0.965,0.951,0.973,0.285,-0.985,0.968,0.985,0.291,-5.43,3.57,6.42,4.56,-0.95,0.91,1.12,1.08,5.59,3.77,6.63,15.99,7371,3025,4984,15380,6134,6527,7526,20187,1106,865,839,2810,1191,2006,1535,4732,13929,10232,14039,38200,1.905,1.848,1.585,1.904,1.841,1.585,0.085,0.166,0.045,13.593,22.200,16.224,13.528,17.482,13.155,1.333,13.682,9.495,328.811,332.836,329.660,1.384,1.384,1.388,1.582,1.738,1.638,1.199,1.344,1.163,0.366,0.509,241.249,218.067,0.000,239.889,120.146,170.543,227.303,101.549,239.889,240.223,120.146,303.346,127.459,68.994,189.457,12.586,18.598,237.599,240.872,237.539,238.544,0.000,237.082,240.025,236.972,238.073,0.000,414.451,411.424,412.054,412.234,413.136,410.037,410.901,411.908,24.457,16.041,28.273,22.440,47.972,23.149,15.453,27.436,22.222,47.249,49.995,49.988,-0.964,0.951,0.977,0.288,-0.971,0.938,0.973,0.285,-0.984,0.969,0.986,0.292,-0.985,0.968,0.985,0.291,-5.426,3.599,6.438,4.600,-5.438,3.570,6.422,4.563,-0.949,0.918,1.122,1.083,-0.966,0.904,1.084,1.040,5.680,3.831,6.629,16.098,5.587,3.772,6.579,15.971,22.052,22.617,15.867,20.179,-2.929,-3.459,2.364,-4.024,-0.782,-0.899,0.592,-1.089,3.069,3.654,2.506,9.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,12:03:03,237.78,240.67,237.40,238.68,0.00,414.84,411.24,411.46,412.51,23.54,15.54,27.75,22.28,47.01,49.98,-0.966,0.937,0.975,0.287,-0.983,0.967,0.985,0.291,-5.39,3.56,6.40,4.56,-0.98,0.93,1.13,1.08,5.57,3.79,6.56,15.92,7371,3030,4993,15394,6141,6527,7526,20194,1106,866,841,2813,1193,2006,1535,4734,13937,10237,14048,38222,2.056,2.010,1.757,2.053,2.008,1.755,0.103,0.072,0.079,13.995,18.877,17.508,13.841,16.486,14.815,2.065,9.196,9.329,329.020,332.831,329.919,1.384,1.383,1.389,1.570,1.700,1.607,1.203,1.305,1.162,0.477,0.428,220.144,243.870,0.000,239.766,119.971,170.648,220.377,109.811,239.766,240.135,119.971,310.395,110.936,60.838,189.352,19.389,10.160,237.874,240.819,237.652,238.681,0.000,237.188,240.016,236.493,238.248,0.000,414.889,411.582,411.991,412.575,413.257,410.159,410.933,411.845,24.035,16.115,28.245,22.452,47.556,22.909,15.350,27.328,22.074,46.964,49.988,49.971,-0.965,0.951,0.975,0.287,-0.972,0.937,0.970,0.285,-0.984,0.969,0.985,0.292,-0.985,0.968,0.985,0.291,-5.395,3.587,6.429,4.589,-5.431,3.557,6.398,4.544,-0.952,0.933,1.127,1.083,-0.977,0.899,1.108,1.049,5.599,3.813,6.629,16.000,5.571,3.736,6.558,15.879,22.052,22.617,15.867,20.179,-2.929,-3.459,2.364,-4.024,-0.782,-0.899,0.592,-1.089,3.069,3.654,2.506,9.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,12:03:08,237.82,240.67,237.47,238.58,0.00,414.47,411.48,411.66,412.54,23.28,15.65,27.45,22.10,46.77,49.97,-0.970,0.939,0.976,0.289,-0.984,0.968,0.985,0.294,-5.37,3.57,6.39,4.58,-0.98,0.92,1.13,1.08,5.53,3.77,6.54,15.84,7371,3034,5000,15405,6148,6527,7526,20201,1106,867,842,2815,1194,2006,1535,4735,13943,10241,14055,38239,2.129,2.097,1.849,2.126,2.094,1.848,0.117,0.118,0.054,17.965,16.973,11.496,15.960,15.428,11.312,8.246,7.074,2.047,328.931,332.869,329.830,1.383,1.383,1.389,1.671,1.732,1.619,1.212,1.283,1.139,0.421,0.439,221.657,235.990,0.000,239.959,120.023,161.332,223.611,107.104,239.959,240.064,120.023,299.479,116.508,54.229,198.668,16.348,12.920,237.892,240.825,237.543,238.681,0.000,237.477,240.483,237.135,238.577,0.000,415.081,411.656,411.946,412.487,413.999,410.731,410.790,412.401,24.160,16.218,27.894,22.277,47.595,22.804,15.345,27.202,22.099,46.773,49.980,49.973,-0.956,0.945,0.976,0.289,-0.971,0.937,0.972,0.287,-0.983,0.968,0.985,0.294,-0.984,0.967,0.985,0.291,-5.369,3.574,6.399,4.583,-5.395,3.560,6.386,4.565,-0.973,0.933,1.131,1.083,-0.978,0.917,1.122,1.062,5.573,3.817,6.558,15.943,5.525,3.753,6.538,15.836,22.052,22.617,15.867,20.179,-2.929,-3.459,2.364,-4.024,-0.782,-0.899,0.592,-1.089,3.069,3.654,2.506,9.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,12:03:13,237.86,240.78,237.49,238.67,0.00,414.72,411.49,411.64,412.62,23.30,15.86,27.58,22.38,48.02,49.95,-0.958,0.939,0.974,0.288,-0.983,0.968,0.985,0.296,-5.35,3.58,6.39,4.62,-0.98,0.92,1.12,1.06,5.62,3.83,6.61,16.07,7371,3040,5011,15422,6157,6527,7526,20210,1106,869,844,2819,1195,2006,1535,4736,13952,10248,14067,38267,1.928,1.883,1.653,1.927,1.880,1.651,0.045,0.103,0.072,24.731,23.160,19.827,19.883,18.442,15.862,14.707,14.010,11.895,329.097,332.723,329.470,1.384,1.382,1.387,1.727,1.736,1.706,1.296,1.338,1.173,0.449,0.427,204.517,235.699,0.000,239.906,119.988,175.553,214.471,109.318,239.906,240.082,119.988,323.525,105.152,66.234,184.447,25.436,10.670,237.971,240.824,237.672,238.671,0.000,237.272,239.677,236.881,238.488,0.000,415.001,411.853,411.989,412.548,413.445,410.362,410.363,412.191,24.100,16.080,28.329,22.377,48.054,22.821,15.385,27.189,22.099,46.707,49.973,49.947,-0.958,0.949,0.976,0.292,-0.970,0.939,0.972,0.287,-0.983,0.970,0.985,0.296,-0.984,0.968,0.985,0.292,-5.344,3.586,6.394,4.630,-5.386,3.563,6.375,4.561,-0.975,0.927,1.133,1.078,-0.983,0.888,1.124,1.046,5.625,3.829,6.612,16.066,5.525,3.772,6.538,15.836,22.052,22.617,15.867,20.179,-2.929,-3.459,2.364,-4.024,-0.782,-0.899,0.592,-1.089,3.069,3.654,2.506,9.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,12:03:18,237.83,240.76,237.41,238.56,0.00,414.81,411.40,411.40,412.54,23.58,15.50,27.58,22.23,47.18,49.95,-0.968,0.938,0.974,0.292,-0.984,0.969,0.985,0.297,-5.36,3.60,6.42,4.66,-0.98,0.91,1.13,1.06,5.54,3.83,6.59,15.96,7371,3044,5019,15434,6164,6527,7526,20217,1106,870,845,2821,1197,2006,1535,4738,13959,10252,14074,38285,1.919,1.847,1.619,1.912,1.846,1.618,0.155,0.069,0.057,19.710,14.683,11.511,16.865,14.406,11.240,10.201,2.837,2.487,329.077,332.732,329.629,1.384,1.382,1.388,1.699,1.682,1.565,1.244,1.265,1.134,0.492,0.396,213.490,227.203,0.000,239.836,119.918,175.729,220.588,108.615,239.836,240.082,119.918,312.205,111.973,67.113,184.271,19.248,11.303,237.951,240.833,237.544,238.676,0.000,237.414,240.315,237.121,238.445,0.000,415.053,411.679,411.809,412.639,413.928,410.751,410.896,412.143,24.040,16.236,28.221,22.377,47.977,22.873,15.433,27.397,22.121,46.900,49.955,49.948,-0.957,0.951,0.974,0.293,-0.970,0.938,0.970,0.288,-0.983,0.969,0.985,0.298,-0.984,0.968,0.985,0.296,-5.346,3.607,6.421,4.665,-5.363,3.582,6.394,4.623,-0.974,0.922,1.129,1.069,-0.983,0.908,1.111,1.050,5.625,3.840,6.617,16.066,5.516,3.780,6.565,15.902,22.052,22.617,15.867,20.179,-2.929,-3.459,2.364,-4.024,-0.782,-0.899,0.592,-1.089,3.069,3.654,2.506,9.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,12:03:23,237.38,240.41,237.10,238.26,0.00,413.98,410.63,410.82,411.81,23.58,16.07,28.17,22.37,47.51,49.97,-0.971,0.943,0.976,0.292,-0.984,0.969,0.985,0.298,-5.38,3.65,6.43,4.70,-0.97,0.91,1.11,1.04,5.54,3.89,6.63,16.06,7371,3051,5030,15452,6174,6527,7526,20227,1106,871,847,2824,1198,2006,1535,4739,13968,10259,14085,38312,1.854,1.786,1.547,1.851,1.785,1.543,0.110,0.043,0.120,15.374,24.163,17.128,14.561,19.781,14.628,4.934,13.877,8.909,328.934,332.058,328.917,1.386,1.383,1.388,1.588,1.754,1.735,1.218,1.393,1.162,0.452,0.398,239.573,216.469,0.000,239.906,119.953,165.463,232.225,103.887,239.906,240.135,119.953,292.377,129.744,60.416,194.537,7.682,16.066,237.930,240.815,237.474,238.659,0.000,237.286,240.087,236.992,238.263,0.000,414.974,411.718,411.783,412.549,413.571,410.574,410.718,411.979,24.405,16.407,28.180,22.416,47.515,22.984,15.527,27.386,22.180,47.039,49.967,49.955,-0.959,0.952,0.976,0.293,-0.971,0.939,0.974,0.291,-0.983,0.969,0.985,0.298,-0.984,0.968,0.985,0.297,-5.367,3.652,6.428,4.697,-5.384,3.604,6.415,4.652,-0.972,0.926,1.135,1.073,-0.987,0.909,1.106,1.043,5.579,3.892,6.628,16.062,5.542,3.794,6.577,15.928,22.052,22.617,15.867,20.179,-2.929,-3.459,2.364,-4.024,-0.782,-0.899,0.592,-1.089,3.069,3.654,2.506,9.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,12:03:28,237.78,240.69,237.39,238.72,0.00,414.64,411.27,411.41,412.44,23.18,15.71,27.93,22.65,47.28,49.97,-0.961,0.946,0.973,0.290,-0.984,0.969,0.985,0.297,-5.40,3.63,6.44,4.67,-0.99,0.92,1.12,1.05,5.64,3.86,6.60,16.10,7371,3054,5035,15460,6178,6527,7526,20231,1106,872,848,2826,1199,2006,1535,4740,13973,10262,14091,38326,2.242,2.142,1.962,2.237,2.141,1.950,0.152,0.090,0.217,14.420,14.760,11.682,13.808,14.313,11.144,4.158,3.606,3.504,329.062,332.802,329.455,1.384,1.382,1.388,1.583,1.699,1.583,1.204,1.243,1.134,0.468,0.408,220.695,238.684,0.000,239.871,119.953,165.252,220.078,106.541,239.871,240.117,119.953,305.455,113.977,58.711,194.748,19.793,13.412,237.997,240.927,237.663,238.718,0.000,237.402,240.116,236.907,238.263,0.000,415.007,411.868,412.130,412.619,413.622,410.427,410.740,411.927,24.191,16.355,28.311,22.654,47.499,22.981,15.519,27.354,22.372,47.130,49.971,49.967,-0.961,0.952,0.976,0.292,-0.971,0.943,0.972,0.290,-0.984,0.970,0.985,0.298,-0.984,0.969,0.985,0.297,-5.384,3.652,6.444,4.697,-5.403,3.626,6.428,4.672,-0.972,0.920,1.123,1.058,-0.987,0.908,1.106,1.043,5.642,3.892,6.646,16.102,5.542,3.802,6.598,16.028,22.052,22.617,15.867,20.179,-2.929,-3.459,2.364,-4.024,-0.782,-0.899,0.592,-1.089,3.069,3.654,2.506,9.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/05,12:03:33,237.49,240.56,237.03,238.12,0.00,413.95,410.96,411.00,411.97,23.10,16.01,28.01,22.55,47.37,49.96,-0.971,0.950,0.973,0.288,-0.984,0.969,0.986,0.294,-5.41,3.60,6.42,4.61,-0.97,0.90,1.08,1.02,5.57,3.81,6.66,16.05,7371,3060,5046,15477,6187,6527,7526,20240,1106,874,850,2830,1201,2006,1535,4742,13983,10269,14102,38354,1.886,1.831,1.580,1.886,1.827,1.575,0.043,0.123,0.123,14.239,23.835,13.059,13.901,18.707,11.764,3.085,14.771,5.670,328.763,332.814,328.862,1.384,1.384,1.388,1.589,1.817,1.630,1.199,1.351,1.139,0.449,0.476,210.907,257.580,0.000,240.029,120.023,170.561,215.332,112.465,240.029,239.994,120.023,316.934,102.867,58.096,189.439,24.697,7.559,237.862,240.762,237.457,238.718,0.000,236.951,239.835,236.580,238.116,0.000,414.646,411.460,411.813,412.535,412.868,409.846,409.852,411.633,23.988,16.255,28.384,22.710,48.183,23.010,15.477,27.426,22.326,47.194,49.971,49.959,-0.961,0.950,0.973,0.292,-0.971,0.946,0.970,0.288,-0.983,0.970,0.986,0.297,-0.984,0.969,0.985,0.294,-5.398,3.632,6.444,4.672,-5.409,3.599,6.425,4.614,-0.964,0.921,1.123,1.054,-0.987,0.902,1.083,1.017,5.642,3.863,6.661,16.108,5.554,3.786,6.589,15.930,22.052,22.617,15.867,20.179,-2.929,-3.459,2.364,-4.024,-0.782,-0.899,0.592,-1.089,3.069,3.654,2.506,9.228,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
