Model,Mi550,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Serial Number,3526471001,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
User Name,User01,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Location,Location01,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wire Mode,3P4W_3CT,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Frequency(Hz),50,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nominal Voltage(V),380,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date;Time;Phase Voltage(V);;;;;Line Voltage(V);;;;Current(A);;;;;Frequency(Hz);Power Factor;;;;Displacement Power Factor;;;;Active Power(kW);;;;Reactive Power(kVar);;;;Apparent Power(kVA);;;;Active Energy Import(Wh);;;;Active Energy Export(Wh);;;;Reactive Energy Import(Varh);;;;Reactive Energy Export(Varh);;;;Apparent Energy(VAh);;;;Voltage THD(%);;;Voltage Odd THD(%);;;Voltage Even THD(%);;;Current THD(%);;;Current Odd THD(%);;;Current Even THD(%);;;Phase Voltage Peak(V);;;Phase VoltageCrest Factor;;;CurrentCrest Factor;;;Current K Factor;;;Voltage  Unbalance(%);;Current Unbalance(%);;Voltage Phase Angle(°);;;Current Phase Angle(°);;;Angle Between Voltages(°);;;Angle Between Currents(°);;;Voltage Current Angle(°);;;Phase Voltage Max.(V);;;;;Phase Voltage Min.(V);;;;;Line Voltage Max.(V);;;;Line Voltage Min.(V);;;;Current Max.(A);;;;;Current Min.(A);;;;;Frequency Max.(Hz);Frequency min.(Hz);Power Factor Max.;;;;Power Factor Min.;;;;Displacement Power Factor Max.;;;;Displacement Power Factor Min.;;;;Active Power Max.(kW);;;;Active Power Min.(kW);;;;Reactive Power Max.(kVar);;;;Reactive Power Min.(kVar);;;;Apparent Power Max.(kVA);;;;Apparent Power Min.(kVA);;;;Current Demand(A);;;;Active Power Demand(kW);;;;Reactive Power Demand(kVar);;;;Apparent Power Demand(kVA);;;;Current Demand Max.(A);;;;Active Power Demand Max.(kW);;;;Reactive Power Demand Max.(kVar);;;;Apparent Power Demand Max.(kVA);;;
;;UA;UB;UC;UAvg;UN;UAB;UBC;UCA;UAvg;IA;IB;IC;IAvg;IN;FA;PFA;PFB;PFC;PFTotal;DPFA;DPFB;DPFC;DPFTotal;PA;PB;PC;PSum;QA;QB;QC;QSum;SA;SB;SC;SSum;EPA_imp;EPB_imp;EPC_imp;EPSum_imp;EPA_exp;EPB_exp;EPC_exp;EPSum_exp;EQA_imp;EQB_imp;EQC_imp;EQSum_imp;EQA_exp;EQB_exp;EQC_exp;EQSum_exp;ESA;ESB;ESC;ESSUM;UA-THD;UB-THD;UC-THD;UA-TOHD;UB-TOHD;UC-TOHD;UA-TEHD;UB-TEHD;UC-TEHD;IA-THD;IB-THD;IC-THD;IA-TOHD;IB-TOHD;IC-TOHD;IA-TEHD;IB-TEHD;IC-TEHD;UA-pk;UB-pk;UC-pk;UA-CF;UB-CF;UC-CF;IA-CF;IB-CF;IC-CF;IA-KF;IB-KF;IC-KF;Negative;Zero;Negative;Zero;UA-angle;UB-angle;UC-angle;IA-angle;IB-angle;IC-angle;UAB-angle;UBC-angle;UCA-angle;IAB-angle;IBC-angle;ICA-angle;UIA-angle;UIB-angle;UIC-angle;UA-max;UB-max;UC-max;UAvg-max;UN-max;UA-min;UB-min;UC-min;UAvg-min;UN-min;UAB-max;UBC-max;UCA-max;UAvg-max;UAB-min;UBC-min;UCA-min;UAvg-min;IA-max;IB-max;IC-max;IAvg-max;IN-max;IA-min;IB-min;IC-min;IAvg-min;IN-min;FA-max;FA-min;PFA-max;PFB-max;PFC-max;PFTotal-max;PFA-min;PFB-min;PFC-min;PFTotal-min;DPFA-max;DPFB-max;DPFC-max;DPFTotal-max;DPFA-min;DPFB-min;DPFC-min;DPFTotal-min;PA-max;PB-max;PC-max;PSum-max;PA-min;PB-min;PC-min;PSum-min;QA-max;QB-max;QC-max;QSum-max;QA-min;QB-min;QC-min;QSum-min;SA-max;SB-max;SC-max;SSum-max;SA-min;SB-min;SC-min;SSum-min;IA;IB;IC;IAVG;PA;PB;PC;PSUM;QA;QB;QC;QSUM;SA;SB;SC;SSUM;IA-max;IB-max;IC-max;IAVG-max;PA-max;PB-max;PC-max;PSUM-max;QA-max;QB-max;QC-max;QSUM-max;SA-max;SB-max;SC-max;SSUM-max
04/08/2026;14.33.24;236.62;238.95;235.35.00;237.00.00;00.00;410.85;408.64;409.87;409.79;43.13.00;37.26.00;32.88;37.64;12.10;50.06.00;-0.976;-0.950;-0.951;-0.960;-0.984;-0.956;-0.960;-0.968;-9.96;-8.42;-7.34;-25.72;-1.80;-2.58;-2.15;-6.53;10.21;0,393055556;0,340972222;26.78;3;1;0;4;656;539;1286;2481;2;2;2;6;120;161;221;502;754;638;2358;3750;1.920;1.813;1.578;1.909;1.804;1.574;0,143055556;0,122916667;0,079166667;10.355;8.212;13.497;10.138;7.922;12.066;2.109;2.162;6.049;328.411;331.514;327.213;1.389;1.387;1.391;1.587;1.603;1.666;1.249;1.107;1.167;0,102777778;0,522916667;10.529;6.041;0.000;240.486;120.551;166.658;40.500;282.727;240.486;240.047;120.551;126.369;117.791;244.160;193.342;199.986;197.824;263.195;265.776;246.752;239.479;0.000;0.000;0.000;0.000;0.000;0.000;443.704;455.204;421.152;414.655;0.000;0.000;0.000;0.000;70.940;109.233;210.624;112.209;336.617;0.000;0.000;0.000;0.000;0.000;51.545;0.000;0,3375;0,511111111;31.000;0,132638889;-0.987;-0.956;-0.973;-1.000;1.053;1.000;1.000;1.053;-1.077;-1.000;-1.000;-1.000;0,225;0,078472222;0.081;0,184722222;-10.022;-17.081;-7.341;-32.847;0,109027778;0,069444444;0.070;0,133333333;-2.117;-7.747;-2.218;-11.000;10.282;18.804;7.710;35.090;0.000;0.000;0.000;0.000;2.488;0,429166667;0,392361111;1.223;0.002;-0.009;0.001;-0.005;-0.006;0.001;0.005;0.001;0,127777778;0,121527778;0,10625;0,355555556;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04/08/2026;14.33.29;236.39.00;238.78;235.03.00;236.81;00.00;410.68;408.13.00;409.21.00;409.34.00;42.93;37.25.00;33.49.00;38.03.00;11.43;50.06.00;-0.977;-0.951;-0.955;-0.960;-0.984;-0.957;-0.964;-0.969;-9.95;-8.45;-7.52;-25.92;-1.79;-2.55;-2.07;-6.42;10.20;0,397222222;0,352083333;26.99;3;1;0;4;670;551;1297;2518;2;2;2;6;122;165;224;511;769;650;2369;3788;1.916;1.801;1.592;1.911;1.800;1.585;0,097916667;0.057;0,097916667;13.395;14.195;12.316;11.851;10.109;11.551;6.244;9.966;4.275;328.055;330.929;327.323;1.388;1.386;1.392;1.604;1.615;1.689;1.270;1.140;1.166;0,136111111;0,485416667;10.709;5.644;0.000;240.398;120.463;171.404;43.330;285.803;240.398;240.064;120.463;128.074;117.053;245.813;188.596;197.068;194.660;236.773;239.156;235.406;236.998;0.000;236.186;238.457;234.773;236.769;0.000;411.465;408.789;410.102;409.716;410.128;407.586;408.775;409.397;43.420;37.580;33.689;38.032;14.365;42.919;36.951;32.779;37.645;11.426;50.062;50.058;-0.976;-0.948;-0.951;-0.960;-0.978;-0.952;-0.955;-0.962;-0.984;-0.956;-0.960;-0.968;-0.984;-0.958;-0.964;-0.970;-9.955;-8.419;-7.341;-25.721;-9.991;-8.454;-7.517;-25.921;-1.774;-2.540;-2.068;-6.382;-1.808;-2.576;-2.147;-6.527;10.224;8.921;7.871;26.992;10.200;8.855;7.710;26.780;2.488;0,429166667;0,392361111;1.223;0.002;-0.009;0.001;-0.005;-0.006;0.001;0.005;0.001;0,127777778;0,121527778;0,10625;0,355555556;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04/08/2026;14.33.34;236.74;239.06.00;235.17.00;236.92;00.00;411.31.00;408.34.00;409.79;409.81;42.85;37.24.00;33.77;38.20.00;14.43;50.07.00;-0.972;-0.949;-0.956;-0.958;-0.984;-0.957;-0.966;-0.970;-9.93;-8.44;-7.59;-25.95;-1.82;-2.55;-2.05;-6.42;10.21;0,397916667;0,357638889;27.10.00;3;1;0;4;684;563;1307;2554;2;2;2;6;125;168;227;520;783;663;2380;3826;2.196;2.105;1.887;2.192;2.100;1.885;0,090972222;0,095138889;0,071527778;14.361;16.405;14.685;12.362;11.725;12.454;7.309;11.473;7.782;328.421;331.381;326.964;1.388;1.386;1.391;1.592;1.685;1.693;1.272;1.149;1.175;0,152777778;0,520833333;12.036;2.447;0.000;240.363;120.533;166.939;38.830;287.789;240.363;240.170;120.533;128.109;111.428;240.205;193.061;201.533;192.744;236.904;239.159;235.422;236.995;0.000;236.150;238.158;234.827;236.807;0.000;411.547;408.862;410.262;409.831;410.037;407.667;409.123;409.343;43.607;37.558;34.040;38.197;14.604;42.689;36.832;33.417;37.916;10.929;50.065;50.057;-0.972;-0.949;-0.955;-0.958;-0.977;-0.952;-0.957;-0.963;-0.984;-0.957;-0.964;-0.969;-0.984;-0.958;-0.965;-0.970;-9.917;-8.427;-7.517;-25.921;-9.955;-8.453;-7.596;-25.952;-1.787;-2.532;-2.050;-6.379;-1.820;-2.563;-2.069;-6.439;10.215;8.934;7.951;27.100;10.169;8.845;7.871;26.947;2.488;0,429166667;0,392361111;1.223;0.002;-0.009;0.001;-0.005;-0.006;0.001;0.005;0.001;0,127777778;0,121527778;0,10625;0,355555556;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04/08/2026;14.33.39;237.06.00;239.39.00;235.60;237.16.00;00.00;411.82;409.27.00;410.29.00;410.46.00;43.23.00;37.31.00;33.55.00;38.08.00;0,543055556;50.06.00;-0.971;-0.951;-0.955;-0.958;-0.983;-0.956;-0.964;-0.969;-9.92;-8.48;-7.56;-25.97;-1.84;-2.59;-2.08;-6.50;10.23;0,398611111;0,35625;27.11.00;3;1;0;4;699;575;1318;2592;2;2;2;6;127;172;230;529;798;676;2392;3866;1.889;1.793;1.559;1.886;1.791;1.558;0,075694444;0.094;0.062;15.741;11.624;14.985;12.629;8.662;12.813;9.396;7.751;7.769;328.757;331.795;327.400;1.387;1.386;1.391;1.639;1.671;1.707;1.291;1.117;1.187;0,154861111;0,499305556;6.197;8.303;0.000;240.381;120.463;163.090;43.594;280.512;240.381;240.029;120.463;119.443;123.135;242.578;196.910;196.787;199.951;237.081;239.450;235.617;237.161;0.000;236.470;238.552;234.754;236.899;0.000;412.036;409.308;410.389;410.094;410.740;407.783;409.081;409.721;43.596;37.538;34.116;38.197;14.434;42.584;36.795;33.440;37.853;11.025;50.065;50.058;-0.971;-0.945;-0.951;-0.958;-0.976;-0.952;-0.956;-0.959;-0.983;-0.956;-0.964;-0.969;-0.984;-0.957;-0.966;-0.970;-9.917;-8.419;-7.565;-25.913;-9.927;-8.479;-7.591;-25.966;-1.818;-2.555;-2.050;-6.422;-1.837;-2.592;-2.075;-6.504;10.235;8.940;7.957;27.106;10.195;8.857;7.931;27.009;2.488;0,429166667;0,392361111;1.223;0.002;-0.009;0.001;-0.005;-0.006;0.001;0.005;0.001;0,127777778;0,121527778;0,10625;0,355555556;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04/08/2026;14.33.44;237.28.00;239.30.00;235.63;237.39.00;00.00;412.09.00;409.39.00;410.36.00;410.61;36.30.00;37.62;34.21.00;35.99;09.06;50.06.00;-0.970;-0.953;-0.955;-0.957;-0.981;-0.958;-0.964;-0.967;-8.34;-8.54;-7.59;-24.48;-1.68;-2.56;-2.09;-6.33;0,375694444;0,400694444;08.00;25.57.00;3;1;0;4;711;587;1329;2627;2;2;2;6;130;176;233;539;811;688;2403;3902;1.900;1.800;1.576;1.897;1.798;1.566;0.097;0.083;0,121527778;14.152;10.111;14.978;11.910;8.970;12.642;7.644;4.664;8.032;328.949;331.323;327.923;1.387;1.386;1.392;1.611;1.622;1.740;1.286;1.114;1.175;0,1625;0,449305556;6.973;1.206;0.000;240.311;120.393;172.072;44.561;287.367;240.311;240.082;120.393;128.162;117.193;245.355;187.928;195.750;193.025;237.317;239.571;235.668;237.389;0.000;235.973;238.772;234.983;236.974;0.000;412.089;409.470;410.888;410.580;410.820;407.732;408.905;409.501;43.439;37.800;34.210;38.079;13.026;35.946;37.200;33.397;35.808;8.651;50.063;50.059;-0.959;-0.948;-0.954;-0.957;-0.971;-0.953;-0.956;-0.960;-0.980;-0.955;-0.964;-0.967;-0.983;-0.958;-0.965;-0.969;-8.276;-8.479;-7.565;-24.417;-9.922;-8.541;-7.608;-25.966;-1.588;-2.542;-2.068;-6.281;-1.837;-2.645;-2.092;-6.504;10.234;8.980;7.997;27.106;8.568;8.940;7.915;25.464;2.488;0,429166667;0,392361111;1.223;0.002;-0.009;0.001;-0.005;-0.006;0.001;0.005;0.001;0,127777778;0,121527778;0,10625;0,355555556;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04/08/2026;14.33.49;237.13.00;239.14.00;235.45.00;237.32.00;00.00;411.56.00;409.21.00;410.22.00;410.33.00;36.07.00;37.66;33.72;35.68;09.00;50.06.00;-0.970;-0.950;-0.954;-0.959;-0.980;-0.958;-0.963;-0.967;-8.32;-8.55;-7.57;-24.44;-1.69;-2.56;-2.10;-6.35;08.55;09.00;0,35625;25.48.00;3;1;0;4;723;599;1340;2662;2;2;2;6;132;179;236;547;823;701;2414;3938;2.288;2.142;1.981;2.285;2.134;1.974;0,078472222;0,129166667;0,114583333;10.385;12.826;12.867;10.294;9.578;11.949;1.367;8.531;4.771;328.905;331.666;327.785;1.387;1.386;1.391;1.565;1.633;1.674;1.286;1.119;1.167;0,131944444;0,494444444;2.576;3.924;0.000;240.434;120.463;163.582;45.123;284.080;240.434;240.029;120.463;118.459;122.045;240.275;196.418;195.311;196.383;237.333;239.361;235.700;237.391;0.000;236.773;238.645;234.982;237.021;0.000;412.299;409.487;410.678;410.594;410.999;408.316;409.517;410.005;36.572;38.055;34.413;35.988;9.794;35.842;37.275;33.400;35.683;8.484;50.065;50.059;-0.968;-0.949;-0.946;-0.955;-0.971;-0.954;-0.955;-0.961;-0.980;-0.958;-0.963;-0.967;-0.981;-0.959;-0.964;-0.968;-8.315;-8.528;-7.569;-24.420;-8.344;-8.571;-7.594;-24.498;-1.669;-2.521;-2.078;-6.267;-1.689;-2.559;-2.108;-6.350;8.621;9.022;7.997;25.575;8.539;8.957;7.934;25.436;2.488;0,429166667;0,392361111;1.223;0.002;-0.009;0.001;-0.005;-0.006;0.001;0.005;0.001;0,127777778;0,121527778;0,10625;0,355555556;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04/08/2026;14.33.54;237.00.00;239.04.00;235.37.00;237.18.00;00.00;411.65;408.70;410.07.00;410.14.00;35.84;37.47.00;33.80;35.75;10.55;50.06.00;-0.973;-0.953;-0.956;-0.959;-0.980;-0.958;-0.964;-0.967;-8.29;-8.57;-7.58;-24.44;-1.67;-2.57;-2.09;-6.33;08.51;09.03;0,356944444;25.49.00;3;1;0;4;732;609;1348;2689;2;2;2;6;134;182;238;554;833;711;2423;3967;1.919;1.782;1.570;1.916;1.782;1.569;0,072916667;0.044;0.063;12.659;12.514;19.565;11.017;8.795;14.292;6.235;8.902;13.361;328.804;331.254;327.180;1.387;1.386;1.391;1.609;1.671;1.745;1.307;1.125;1.203;0,165277778;0,473611111;7.404;2.303;0.000;240.293;120.480;170.420;45.932;281.531;240.293;240.188;120.480;125.455;124.400;249.855;189.580;194.361;198.949;237.326;239.326;235.626;237.320;0.000;236.306;238.836;235.083;236.898;0.000;412.257;409.324;410.602;410.317;410.811;407.757;409.398;409.498;36.311;37.902;34.340;35.753;10.816;35.560;37.206;33.480;35.658;8.464;50.059;50.053;-0.970;-0.950;-0.953;-0.959;-0.973;-0.954;-0.956;-0.961;-0.980;-0.958;-0.963;-0.967;-0.981;-0.959;-0.964;-0.968;-8.287;-8.541;-7.569;-24.424;-8.320;-8.569;-7.604;-24.453;-1.659;-2.536;-2.078;-6.282;-1.689;-2.579;-2.112;-6.364;8.548;9.032;7.971;25.487;8.513;8.960;7.930;25.427;2.488;0,429166667;0,392361111;1.223;0.002;-0.009;0.001;-0.005;-0.006;0.001;0.005;0.001;0,127777778;0,121527778;0,10625;0,355555556;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04/08/2026;14.33.59;236.80;238.94;235.26.00;236.64;00.00;411.17.00;408.53.00;409.90;409.87;36.50.00;37.69;33.80;49.74;0,4375;50.06.00;-0.965;-0.940;-0.955;-0.933;-0.978;-0.912;-0.962;-0.939;-8.17;-17.29;-7.55;-33.00;-1.72;-7.77;-2.15;-11.64;08.44;19.00;0,355555556;35.36.00;3;1;0;4;744;623;1359;2726;2;2;2;6;136;187;241;564;845;729;2435;4009;1.890;1.790;1.547;1.886;1.789;1.545;0,083333333;0.046;0.069;15.540;8.594;15.420;13.157;7.876;13.101;8.270;3.439;8.132;328.585;331.069;327.336;1.388;1.386;1.391;1.653;1.578;1.717;1.324;1.100;1.175;0,127777778;0,508333333;1.316;7.995;0.000;240.398;120.533;159.100;46.125;287.666;240.398;240.135;120.533;112.271;118.441;230.713;200.900;194.273;192.867;237.143;239.252;235.573;237.255;0.000;236.217;237.407;234.542;236.641;0.000;411.839;409.267;410.492;410.310;409.971;407.418;408.439;409.432;36.553;80.519;34.294;49.737;45.600;35.437;37.148;33.332;35.650;8.564;50.062;50.056;-0.965;-0.940;-0.949;-0.933;-0.973;-0.954;-0.956;-0.960;-0.980;-0.958;-0.964;-0.939;-0.981;-0.959;-0.965;-0.968;-8.166;-8.527;-7.543;-24.337;-8.287;-17.285;-7.586;-33.003;-1.640;-2.510;-2.039;-6.202;-1.722;-7.769;-2.146;-11.637;8.516;18.995;8.018;35.358;8.443;8.938;7.899;25.370;2.488;0,429166667;0,392361111;1.223;0.002;-0.009;0.001;-0.005;-0.006;0.001;0.005;0.001;0,127777778;0,121527778;0,10625;0,355555556;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
04/08/2026;14.34.04;236.58.00;238.69;235.06.00;236.60;00.00;410.66;408.29.00;409.55.00;409.50.00;36.25.00;37.66;33.49.00;35.77;09.36;50.06.00;-0.970;-0.954;-0.956;-0.960;-0.981;-0.960;-0.965;-0.968;-8.25;-8.60;-7.53;-24.38;-1.63;-2.49;-2.04;-6.16;08.53;09.01;0,351388889;25.40.00;3;1;0;4;753;633;1368;2754;2;2;2;6;138;190;243;571;854;740;2444;4038;1.891;1.783;1.573;1.889;1.779;1.570;0.074;0,081944444;0,069444444;14.993;8.020;12.298;12.158;7.844;11.472;8.774;1.668;4.430;327.999;330.776;326.802;1.387;1.386;1.391;1.585;1.563;1.659;1.343;1.101;1.160;0,106944444;0,506944444;6.783;0,342361111;0.000;240.451;120.533;170.262;44.104;285.064;240.451;240.082;120.533;126.158;118.705;246.076;189.738;196.348;195.469;236.851;238.942;235.321;236.738;0.000;236.424;238.456;234.726;236.595;0.000;411.353;408.748;410.192;409.892;410.277;407.646;408.816;409.178;36.506;38.227;34.109;49.737;11.177;35.627;37.447;33.291;35.771;8.446;50.062;50.058;-0.965;-0.940;-0.954;-0.933;-0.970;-0.954;-0.956;-0.960;-0.978;-0.912;-0.962;-0.939;-0.981;-0.959;-0.965;-0.968;-8.166;-8.581;-7.528;-24.378;-8.257;-17.285;-7.551;-33.003;-1.631;-2.488;-2.040;-6.160;-1.722;-7.769;-2.146;-11.637;8.552;18.995;7.919;35.358;8.443;9.006;7.865;25.404;2.488;0,429166667;0,392361111;1.223;0.002;-0.009;0.001;-0.005;-0.006;0.001;0.005;0.001;0,127777778;0,121527778;0,10625;0,355555556;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000
