Model,Mi550,
Serial Number,3526471001,

User Name,User01,
Location,Location01,

Wire Mode,3P4W_3CT,
Frequency(Hz),50,
Nominal Voltage(V),380,

Date,Time,Phase Voltage(V),,,,,Line Voltage(V),,,,Current(A),,,,,Frequency(Hz),Power Factor,,,,Displacement Power Factor,,,,Active Power(kW),,,,Reactive Power(kVar),,,,Apparent Power(kVA),,,,Active Energy Import(Wh),,,,Active Energy Export(Wh),,,,Reactive Energy Import(Varh),,,,Reactive Energy Export(Varh),,,,Apparent Energy(VAh),,,,Voltage THD(%),,,Voltage Odd THD(%),,,Voltage Even THD(%),,,Current THD(%),,,Current Odd THD(%),,,Current Even THD(%),,,Phase Voltage Peak(V),,,Phase VoltageCrest Factor,,,CurrentCrest Factor,,,Current K Factor,,,Voltage  Unbalance(%),,Current Unbalance(%),,Voltage Phase Angle(°),,,Current Phase Angle(°),,,Angle Between Voltages(°),,,Angle Between Currents(°),,,Voltage Current Angle(°),,,Phase Voltage Max.(V),,,,,Phase Voltage Min.(V),,,,,Line Voltage Max.(V),,,,Line Voltage Min.(V),,,,Current Max.(A),,,,,Current Min.(A),,,,,Frequency Max.(Hz),Frequency min.(Hz),Power Factor Max.,,,,Power Factor Min.,,,,Displacement Power Factor Max.,,,,Displacement Power Factor Min.,,,,Active Power Max.(kW),,,,Active Power Min.(kW),,,,Reactive Power Max.(kVar),,,,Reactive Power Min.(kVar),,,,Apparent Power Max.(kVA),,,,Apparent Power Min.(kVA),,,,Current Demand(A),,,,Active Power Demand(kW),,,,Reactive Power Demand(kVar),,,,Apparent Power Demand(kVA),,,,Current Demand Max.(A),,,,Active Power Demand Max.(kW),,,,Reactive Power Demand Max.(kVar),,,,Apparent Power Demand Max.(kVA),,,
,,UA,UB,UC,UAvg,UN,UAB,UBC,UCA,UAvg,IA,IB,IC,IAvg,IN,FA,PFA,PFB,PFC,PFTotal,DPFA,DPFB,DPFC,DPFTotal,PA,PB,PC,PSum,QA,QB,QC,QSum,SA,SB,SC,SSum,EPA_imp,EPB_imp,EPC_imp,EPSum_imp,EPA_exp,EPB_exp,EPC_exp,EPSum_exp,EQA_imp,EQB_imp,EQC_imp,EQSum_imp,EQA_exp,EQB_exp,EQC_exp,EQSum_exp,ESA,ESB,ESC,ESSUM,UA-THD,UB-THD,UC-THD,UA-TOHD,UB-TOHD,UC-TOHD,UA-TEHD,UB-TEHD,UC-TEHD,IA-THD,IB-THD,IC-THD,IA-TOHD,IB-TOHD,IC-TOHD,IA-TEHD,IB-TEHD,IC-TEHD,UA-pk,UB-pk,UC-pk,UA-CF,UB-CF,UC-CF,IA-CF,IB-CF,IC-CF,IA-KF,IB-KF,IC-KF,Negative,Zero,Negative,Zero,UA-angle,UB-angle,UC-angle,IA-angle,IB-angle,IC-angle,UAB-angle,UBC-angle,UCA-angle,IAB-angle,IBC-angle,ICA-angle,UIA-angle,UIB-angle,UIC-angle,UA-max,UB-max,UC-max,UAvg-max,UN-max,UA-min,UB-min,UC-min,UAvg-min,UN-min,UAB-max,UBC-max,UCA-max,UAvg-max,UAB-min,UBC-min,UCA-min,UAvg-min,IA-max,IB-max,IC-max,IAvg-max,IN-max,IA-min,IB-min,IC-min,IAvg-min,IN-min,FA-max,FA-min,PFA-max,PFB-max,PFC-max,PFTotal-max,PFA-min,PFB-min,PFC-min,PFTotal-min,DPFA-max,DPFB-max,DPFC-max,DPFTotal-max,DPFA-min,DPFB-min,DPFC-min,DPFTotal-min,PA-max,PB-max,PC-max,PSum-max,PA-min,PB-min,PC-min,PSum-min,QA-max,QB-max,QC-max,QSum-max,QA-min,QB-min,QC-min,QSum-min,SA-max,SB-max,SC-max,SSum-max,SA-min,SB-min,SC-min,SSum-min,IA,IB,IC,IAVG,PA,PB,PC,PSUM,QA,QB,QC,QSUM,SA,SB,SC,SSUM,IA-max,IB-max,IC-max,IAVG-max,PA-max,PB-max,PC-max,PSUM-max,QA-max,QB-max,QC-max,QSUM-max,SA-max,SB-max,SC-max,SSUM-max
2026/08/24,14:03:53,237.20,235.91,235.02,235.82,0.00,410.32,409.62,407.65,409.20,8.86,13.72,2.16,8.21,11.43,50.03,0.948,0.970,0.599,0.925,0.989,0.989,0.987,0.989,2.00,3.20,0.37,5.57,0.29,0.47,-0.05,0.71,2.11,3.30,0.61,6.02,27945,22845,25841,76631,7522,6678,8272,22472,4166,5023,5294,14483,2235,2984,2149,7368,37030,32164,37192,106386,1.390,1.403,1.288,1.387,1.398,1.286,0.089,0.111,0.062,23.752,14.843,84.139,21.689,13.547,84.132,9.684,6.065,1.052,332.628,331.290,330.981,1.403,1.404,1.407,2.067,1.677,3.843,3.491,1.423,28.563,0.363,0.451,38.315,53.407,0.000,239.713,119.373,346.693,236.268,148.465,239.713,239.678,119.373,110.426,87.258,200.883,13.307,3.445,330.908,244.023,241.664,246.455,236.836,0.000,0.018,0.018,0.017,0.020,0.000,418.539,458.812,424.397,410.546,0.037,0.032,0.037,0.037,40.527,36.872,50.679,35.254,41.087,6.947,0.008,0.178,2.543,5.146,50.052,50.000,0.961,0.994,0.620,0.966,0.000,-0.859,-0.683,-0.042,1.000,0.994,0.994,1.000,0.000,-0.917,-1.000,0.000,8.926,4.318,0.379,6.644,-0.001,-0.916,-6.864,-0.002,2.465,0.519,7.308,5.948,-0.001,-5.338,-0.061,-0.001,9.334,5.500,10.073,24.851,0.000,0.000,0.000,0.000,33.319,27.591,27.610,29.507,5.051,3.517,1.902,10.470,1.085,0.344,1.993,3.422,5.214,4.370,4.730,14.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,14:03:58,236.79,235.67,234.95,236.13,0.00,409.50,409.34,407.39,408.74,8.80,13.87,2.12,8.29,11.42,50.03,0.950,0.973,0.611,0.923,0.990,0.989,0.990,0.990,2.02,3.22,0.37,5.61,0.29,0.48,-0.06,0.70,2.12,3.31,0.64,6.07,27948,22849,25842,76639,7522,6678,8272,22472,4166,5024,5294,14484,2235,2984,2149,7368,37033,32169,37193,106395,1.402,1.372,1.275,1.400,1.371,1.270,0.071,0.052,0.110,22.744,15.622,82.871,21.187,14.338,82.852,8.269,6.202,1.802,332.375,330.986,331.352,1.402,1.403,1.410,2.069,1.720,3.691,3.439,1.450,27.702,0.289,0.439,45.120,46.094,0.000,239.836,119.443,349.576,227.900,140.906,239.836,239.607,119.443,120.762,87.275,208.037,10.424,11.936,338.537,237.696,236.368,235.730,236.227,0.000,236.711,235.563,234.788,235.824,0.000,411.072,410.520,408.956,409.570,409.490,409.180,407.186,408.695,8.935,14.260,2.424,8.392,11.815,8.474,13.678,2.060,8.215,11.356,50.037,50.031,0.950,0.973,0.611,0.928,0.947,0.967,0.599,0.923,0.990,0.990,0.990,0.990,0.989,0.989,0.987,0.989,2.016,3.233,0.375,5.614,2.002,3.197,0.369,5.568,0.309,0.479,-0.051,0.713,0.287,0.459,-0.062,0.695,2.125,3.333,0.639,6.075,2.113,3.298,0.603,6.020,33.319,27.591,27.610,29.507,5.051,3.517,1.902,10.470,1.085,0.344,1.993,3.422,5.214,4.370,4.730,14.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,14:04:03,237.24,235.86,235.27,236.13,0.00,410.09,409.91,408.13,409.38,8.90,14.08,2.12,8.42,11.79,50.03,0.949,0.974,0.599,0.926,0.990,0.990,0.987,0.990,2.02,3.26,0.37,5.66,0.29,0.46,-0.06,0.69,2.13,3.35,0.63,6.11,27950,22853,25842,76645,7522,6678,8272,22472,4166,5024,5294,14484,2235,2984,2149,7368,37036,32173,37194,106403,1.111,1.130,1.009,1.110,1.129,1.009,0.042,0.033,0.038,23.430,16.394,83.258,21.029,14.286,83.214,10.332,8.042,2.711,332.515,330.451,330.633,1.402,1.402,1.406,2.153,1.751,3.637,3.439,1.443,27.937,0.295,0.421,45.604,43.124,0.000,239.818,119.479,352.477,229.887,117.457,239.818,239.660,119.479,123.908,112.430,236.338,7.523,9.932,2.021,237.632,236.426,235.672,236.284,0.000,236.669,235.381,234.698,235.702,0.000,411.060,410.529,408.785,409.630,409.228,409.030,407.047,408.606,8.983,14.308,2.451,8.424,11.790,8.763,13.809,2.071,8.290,11.378,50.038,50.025,0.950,0.974,0.611,0.926,0.949,0.966,0.595,0.922,0.991,0.990,0.990,0.990,0.990,0.989,0.987,0.990,2.026,3.261,0.375,5.656,2.016,3.214,0.373,5.607,0.294,0.480,-0.053,0.709,0.283,0.453,-0.062,0.687,2.135,3.350,0.643,6.109,2.125,3.307,0.616,6.071,33.319,27.591,27.610,29.507,5.051,3.517,1.902,10.470,1.085,0.344,1.993,3.422,5.214,4.370,4.730,14.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,14:04:08,236.92,235.71,234.80,235.90,0.00,409.83,409.22,407.30,408.79,8.82,13.94,2.08,8.29,11.43,50.04,0.948,0.970,0.604,0.924,0.990,0.990,0.990,0.990,2.02,3.20,0.37,5.59,0.29,0.46,-0.06,0.69,2.15,3.29,0.61,6.05,27953,22857,25842,76652,7522,6678,8272,22472,4167,5025,5294,14486,2235,2984,2149,7368,37038,32177,37194,106409,1.436,1.440,1.363,1.434,1.437,1.361,0.056,0.105,0.062,23.375,16.980,83.260,21.677,13.767,83.196,8.745,9.940,3.244,332.133,330.489,330.116,1.403,1.403,1.406,2.054,1.783,3.574,3.386,1.429,27.512,0.367,0.432,43.795,44.226,0.000,239.748,119.408,353.215,233.244,117.299,239.748,239.660,119.408,120.252,115.945,236.197,6.785,6.504,2.109,237.492,236.164,235.469,236.131,0.000,236.696,235.465,234.515,235.901,0.000,410.610,410.286,408.482,409.464,409.323,408.745,406.895,408.989,9.081,14.288,2.311,8.424,11.824,8.787,13.763,2.055,8.291,11.389,50.040,50.031,0.949,0.974,0.611,0.927,0.948,0.970,0.599,0.924,0.990,0.990,0.987,0.990,0.990,0.990,0.987,0.990,2.032,3.261,0.374,5.656,2.021,3.201,0.368,5.594,0.294,0.461,-0.057,0.695,0.289,0.453,-0.061,0.685,2.153,3.350,0.629,6.109,2.130,3.294,0.603,6.053,33.319,27.591,27.610,29.507,5.051,3.517,1.902,10.470,1.085,0.344,1.993,3.422,5.214,4.370,4.730,14.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,14:04:13,237.10,235.89,235.01,235.96,0.00,410.15,409.49,407.75,409.13,8.84,13.84,2.09,8.39,11.60,50.04,0.946,0.968,0.615,0.926,0.989,0.990,0.990,0.990,2.03,3.21,0.37,5.61,0.30,0.45,-0.05,0.70,2.13,3.32,0.61,6.06,27956,22862,25843,76661,7522,6678,8272,22472,4167,5026,5294,14487,2235,2984,2149,7368,37042,32182,37196,106420,1.485,1.514,1.401,1.481,1.512,1.400,0.098,0.072,0.056,22.572,16.105,83.532,20.953,14.160,83.508,8.394,7.671,1.993,332.331,330.985,330.671,1.402,1.403,1.407,2.142,1.736,3.750,3.392,1.419,27.608,0.356,0.411,43.613,47.741,0.000,239.748,119.461,346.869,227.707,141.768,239.748,239.695,119.461,119.162,85.623,204.557,13.131,12.041,337.693,237.427,236.032,235.193,235.957,0.000,236.688,235.217,234.491,235.821,0.000,410.510,409.930,408.275,409.069,409.067,408.706,406.752,408.786,8.998,14.353,2.614,8.388,11.920,8.737,13.686,2.048,8.291,11.377,50.040,50.034,0.949,0.975,0.615,0.927,0.946,0.968,0.589,0.921,0.991,0.990,0.990,0.990,0.989,0.990,0.987,0.989,2.026,3.215,0.374,5.608,2.011,3.192,0.370,5.579,0.304,0.462,-0.053,0.706,0.282,0.449,-0.062,0.684,2.153,3.318,0.650,6.059,2.125,3.278,0.605,6.037,33.319,27.591,27.610,29.507,5.051,3.517,1.902,10.470,1.085,0.344,1.993,3.422,5.214,4.370,4.730,14.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,14:04:18,237.05,235.78,234.75,235.77,0.00,409.99,409.25,407.36,408.87,8.84,14.04,2.18,8.26,11.73,50.03,0.945,0.973,0.602,0.923,0.989,0.990,0.990,0.990,2.01,3.20,0.37,5.57,0.31,0.46,-0.06,0.72,2.12,3.31,0.60,6.04,27959,22867,25844,76670,7522,6678,8272,22472,4168,5026,5294,14488,2235,2984,2149,7368,37045,32187,37196,106428,1.129,1.129,1.013,1.127,1.126,1.012,0.060,0.086,0.038,23.971,18.915,85.819,21.614,15.038,85.771,10.365,11.473,2.871,332.230,330.832,330.093,1.402,1.403,1.406,2.080,1.770,3.673,3.426,1.478,28.386,0.366,0.437,46.291,44.679,0.000,239.748,119.408,350.297,231.258,80.807,239.748,239.678,119.408,119.039,147.463,267.205,9.703,8.490,38.602,237.362,235.987,235.187,236.056,0.000,236.682,235.389,234.509,235.629,0.000,410.406,409.894,408.308,409.229,409.323,408.618,406.843,408.490,8.997,14.239,2.389,8.388,11.753,8.751,13.660,2.035,8.261,11.377,50.038,50.027,0.949,0.975,0.615,0.930,0.945,0.968,0.598,0.923,0.989,0.990,0.994,0.990,0.989,0.990,0.987,0.989,2.026,3.210,0.372,5.608,2.009,3.186,0.367,5.570,0.309,0.466,-0.050,0.718,0.292,0.447,-0.056,0.689,2.133,3.318,0.614,6.059,2.123,3.271,0.604,6.010,33.319,27.591,27.610,29.507,5.051,3.517,1.902,10.470,1.085,0.344,1.993,3.422,5.214,4.370,4.730,14.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,14:04:23,237.08,235.83,235.00,235.95,0.00,410.00,409.46,407.76,409.08,8.99,13.97,2.07,8.34,11.64,50.04,0.950,0.967,0.609,0.925,0.989,0.991,0.994,0.990,2.03,3.22,0.37,5.62,0.30,0.45,-0.05,0.69,2.14,3.33,0.61,6.07,27962,22871,25844,76677,7522,6678,8272,22472,4168,5027,5294,14489,2235,2984,2149,7368,37048,32192,37197,106437,1.324,1.304,1.206,1.324,1.304,1.205,0.032,0.031,0.042,22.997,15.840,84.555,20.992,13.776,84.554,9.392,7.820,0.567,332.391,331.056,330.426,1.402,1.403,1.407,2.225,1.754,3.645,3.382,1.415,28.490,0.343,0.405,39.572,48.728,0.000,239.783,119.479,349.770,236.654,121.939,239.783,239.695,119.479,113.115,115.014,228.129,10.230,3.129,357.539,237.471,236.153,235.323,235.952,0.000,236.622,235.400,234.474,235.658,0.000,410.725,410.042,408.306,409.138,409.200,408.679,406.869,408.517,9.031,14.398,2.279,8.338,11.808,8.751,13.723,2.053,8.261,11.438,50.043,50.027,0.951,0.974,0.611,0.929,0.945,0.967,0.602,0.923,0.989,0.990,0.994,0.990,0.989,0.990,0.987,0.989,2.032,3.226,0.370,5.620,2.009,3.198,0.367,5.574,0.309,0.467,-0.048,0.718,0.288,0.445,-0.058,0.689,2.142,3.327,0.620,6.078,2.123,3.307,0.604,6.036,33.319,27.591,27.610,29.507,5.051,3.517,1.902,10.470,1.085,0.344,1.993,3.422,5.214,4.370,4.730,14.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,14:04:28,236.75,235.46,234.61,235.44,0.00,409.36,408.84,407.18,408.46,8.90,13.98,2.29,8.30,11.64,50.04,0.951,0.973,0.601,0.926,0.990,0.990,0.990,0.990,2.01,3.20,0.37,5.58,0.29,0.44,-0.06,0.68,2.12,3.29,0.61,6.02,27965,22876,25845,76686,7522,6678,8272,22472,4168,5028,5294,14490,2235,2984,2149,7368,37051,32196,37198,106445,1.472,1.484,1.396,1.466,1.479,1.391,0.135,0.114,0.113,23.023,16.295,84.920,21.559,14.080,84.878,8.077,8.202,2.652,331.997,330.731,330.658,1.402,1.404,1.410,2.134,1.701,3.740,3.368,1.423,27.724,0.319,0.401,53.311,43.955,0.000,239.801,119.496,357.732,226.652,165.234,239.801,239.695,119.496,131.080,61.682,192.762,2.268,13.148,314.262,237.515,235.987,235.246,236.061,0.000,236.411,235.307,234.365,235.435,0.000,410.542,409.871,408.491,409.228,408.907,408.403,406.383,408.120,9.061,14.312,2.322,8.344,11.807,8.543,13.727,2.045,8.285,11.474,50.043,50.035,0.951,0.973,0.609,0.929,0.946,0.967,0.601,0.925,0.989,0.991,0.994,0.990,0.989,0.990,0.990,0.990,2.032,3.232,0.370,5.628,2.011,3.197,0.368,5.576,0.296,0.445,-0.051,0.689,0.290,0.438,-0.057,0.676,2.146,3.327,0.610,6.075,2.119,3.288,0.601,6.023,33.319,27.591,27.610,29.507,5.051,3.517,1.902,10.470,1.085,0.344,1.993,3.422,5.214,4.370,4.730,14.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,14:04:33,236.88,235.29,234.69,235.52,0.00,409.29,408.95,407.46,408.57,8.93,14.01,2.11,8.46,11.58,50.02,0.949,0.969,0.608,0.927,0.991,0.991,0.990,0.991,2.02,3.25,0.37,5.63,0.27,0.44,-0.05,0.65,2.13,3.33,0.61,6.08,27968,22880,25845,76693,7522,6678,8272,22472,4169,5028,5294,14491,2235,2984,2150,7369,37054,32201,37199,106454,1.164,1.145,1.056,1.159,1.141,1.049,0.113,0.094,0.118,21.935,16.504,84.480,20.483,14.861,84.461,7.850,7.178,1.799,331.771,330.257,329.965,1.401,1.405,1.406,2.206,1.765,3.684,3.351,1.455,28.627,0.301,0.394,35.479,54.610,0.000,239.818,119.549,342.615,236.742,131.941,239.818,239.730,119.549,107.051,104.977,212.027,17.385,3.076,347.607,237.348,235.836,235.111,235.628,0.000,236.211,234.911,234.121,235.435,0.000,410.221,409.748,408.151,408.476,408.465,408.030,406.118,408.214,9.181,14.473,2.329,8.462,11.918,8.707,13.704,2.048,8.302,11.385,50.035,50.020,0.951,0.974,0.614,0.929,0.943,0.967,0.601,0.923,0.990,0.991,0.990,0.991,0.990,0.990,0.987,0.990,2.018,3.248,0.372,5.634,2.010,3.197,0.368,5.576,0.296,0.449,-0.048,0.684,0.267,0.436,-0.057,0.653,2.135,3.338,0.614,6.080,2.119,3.289,0.600,6.018,33.319,27.591,27.610,29.507,5.051,3.517,1.902,10.470,1.085,0.344,1.993,3.422,5.214,4.370,4.730,14.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/24,14:04:38,237.42,236.18,235.29,235.56,0.00,410.67,410.15,408.08,409.63,8.87,13.84,2.09,8.42,11.37,50.01,0.951,0.971,0.599,0.922,0.990,0.991,0.990,0.991,2.01,3.19,0.37,5.57,0.26,0.45,-0.05,0.66,2.12,3.29,0.64,6.04,27970,22884,25846,76700,7522,6678,8272,22472,4169,5029,5294,14492,2235,2984,2150,7369,37056,32205,37200,106461,1.253,1.248,1.141,1.252,1.246,1.140,0.060,0.060,0.039,23.383,14.995,84.630,21.480,14.149,84.616,9.240,4.964,1.578,331.574,330.379,330.464,1.402,1.403,1.406,2.026,1.696,3.841,3.437,1.435,29.139,0.367,0.455,41.880,46.605,0.000,239.748,119.373,345.129,228.814,110.162,239.748,239.625,119.373,116.947,118.652,235.600,14.871,10.934,9.211,237.418,236.177,235.293,235.744,0.000,236.313,235.098,234.130,235.443,0.000,410.666,410.152,408.082,408.735,408.829,408.251,406.021,408.141,8.955,14.386,2.590,8.465,11.717,8.685,13.718,2.056,8.402,11.344,50.021,50.015,0.952,0.974,0.608,0.930,0.948,0.969,0.599,0.922,0.992,0.991,0.994,0.991,0.990,0.991,0.990,0.991,2.018,3.247,0.373,5.634,2.009,3.191,0.369,5.569,0.283,0.448,-0.047,0.673,0.263,0.436,-0.056,0.653,2.135,3.331,0.637,6.080,2.113,3.290,0.612,6.042,33.319,27.591,27.610,29.507,5.051,3.517,1.902,10.470,1.085,0.344,1.993,3.422,5.214,4.370,4.730,14.314,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
