Model,Mi550,
Serial Number,3526471001,

User Name,User01,
Location,Location01,

Wire Mode,3P4W_3CT,
Frequency(Hz),50,
Nominal Voltage(V),380,

Date,Time,Phase Voltage(V),,,,,Line Voltage(V),,,,Current(A),,,,,Frequency(Hz),Power Factor,,,,Displacement Power Factor,,,,Active Power(kW),,,,Reactive Power(kVar),,,,Apparent Power(kVA),,,,Active Energy Import(Wh),,,,Active Energy Export(Wh),,,,Reactive Energy Import(Varh),,,,Reactive Energy Export(Varh),,,,Apparent Energy(VAh),,,,Voltage THD(%),,,Voltage Odd THD(%),,,Voltage Even THD(%),,,Current THD(%),,,Current Odd THD(%),,,Current Even THD(%),,,Phase Voltage Peak(V),,,Phase VoltageCrest Factor,,,CurrentCrest Factor,,,Current K Factor,,,Voltage  Unbalance(%),,Current Unbalance(%),,Voltage Phase Angle(°),,,Current Phase Angle(°),,,Angle Between Voltages(°),,,Angle Between Currents(°),,,Voltage Current Angle(°),,,Phase Voltage Max.(V),,,,,Phase Voltage Min.(V),,,,,Line Voltage Max.(V),,,,Line Voltage Min.(V),,,,Current Max.(A),,,,,Current Min.(A),,,,,Frequency Max.(Hz),Frequency min.(Hz),Power Factor Max.,,,,Power Factor Min.,,,,Displacement Power Factor Max.,,,,Displacement Power Factor Min.,,,,Active Power Max.(kW),,,,Active Power Min.(kW),,,,Reactive Power Max.(kVar),,,,Reactive Power Min.(kVar),,,,Apparent Power Max.(kVA),,,,Apparent Power Min.(kVA),,,,Current Demand(A),,,,Active Power Demand(kW),,,,Reactive Power Demand(kVar),,,,Apparent Power Demand(kVA),,,,Current Demand Max.(A),,,,Active Power Demand Max.(kW),,,,Reactive Power Demand Max.(kVar),,,,Apparent Power Demand Max.(kVA),,,
,,UA,UB,UC,UAvg,UN,UAB,UBC,UCA,UAvg,IA,IB,IC,IAvg,IN,FA,PFA,PFB,PFC,PFTotal,DPFA,DPFB,DPFC,DPFTotal,PA,PB,PC,PSum,QA,QB,QC,QSum,SA,SB,SC,SSum,EPA_imp,EPB_imp,EPC_imp,EPSum_imp,EPA_exp,EPB_exp,EPC_exp,EPSum_exp,EQA_imp,EQB_imp,EQC_imp,EQSum_imp,EQA_exp,EQB_exp,EQC_exp,EQSum_exp,ESA,ESB,ESC,ESSUM,UA-THD,UB-THD,UC-THD,UA-TOHD,UB-TOHD,UC-TOHD,UA-TEHD,UB-TEHD,UC-TEHD,IA-THD,IB-THD,IC-THD,IA-TOHD,IB-TOHD,IC-TOHD,IA-TEHD,IB-TEHD,IC-TEHD,UA-pk,UB-pk,UC-pk,UA-CF,UB-CF,UC-CF,IA-CF,IB-CF,IC-CF,IA-KF,IB-KF,IC-KF,Negative,Zero,Negative,Zero,UA-angle,UB-angle,UC-angle,IA-angle,IB-angle,IC-angle,UAB-angle,UBC-angle,UCA-angle,IAB-angle,IBC-angle,ICA-angle,UIA-angle,UIB-angle,UIC-angle,UA-max,UB-max,UC-max,UAvg-max,UN-max,UA-min,UB-min,UC-min,UAvg-min,UN-min,UAB-max,UBC-max,UCA-max,UAvg-max,UAB-min,UBC-min,UCA-min,UAvg-min,IA-max,IB-max,IC-max,IAvg-max,IN-max,IA-min,IB-min,IC-min,IAvg-min,IN-min,FA-max,FA-min,PFA-max,PFB-max,PFC-max,PFTotal-max,PFA-min,PFB-min,PFC-min,PFTotal-min,DPFA-max,DPFB-max,DPFC-max,DPFTotal-max,DPFA-min,DPFB-min,DPFC-min,DPFTotal-min,PA-max,PB-max,PC-max,PSum-max,PA-min,PB-min,PC-min,PSum-min,QA-max,QB-max,QC-max,QSum-max,QA-min,QB-min,QC-min,QSum-min,SA-max,SB-max,SC-max,SSum-max,SA-min,SB-min,SC-min,SSum-min,IA,IB,IC,IAVG,PA,PB,PC,PSUM,QA,QB,QC,QSUM,SA,SB,SC,SSUM,IA-max,IB-max,IC-max,IAVG-max,PA-max,PB-max,PC-max,PSUM-max,QA-max,QB-max,QC-max,QSUM-max,SA-max,SB-max,SC-max,SSUM-max
2026/08/11,10:16:38,236.44,236.81,236.12,236.71,0.00,410.07,408.53,409.73,409.44,1.80,3.68,5.31,3.59,5.18,50.04,0.721,0.584,0.906,0.763,0.982,0.989,0.997,0.992,0.40,0.55,1.18,2.12,-0.08,-0.08,0.07,-0.09,0.55,0.94,1.30,2.78,8935,5210,7568,21713,7340,6527,7536,21403,1379,1211,1290,3880,1406,2015,1535,4956,16793,12535,16756,46084,1.953,1.854,1.781,1.951,1.851,1.777,0.084,0.116,0.116,22.271,117.885,33.418,22.249,117.837,32.230,0.975,3.359,8.833,330.633,331.486,331.058,1.398,1.399,1.402,2.032,3.653,2.378,2.221,25.519,5.441,0.165,0.227,28.624,44.040,0.000,239.889,120.234,28.213,236.654,118.828,239.889,240.346,120.234,151.295,117.826,269.121,331.787,3.234,1.406,263.333,257.259,240.087,236.936,0.000,0.000,0.000,0.000,0.000,0.000,460.074,435.324,419.808,410.268,0.000,0.000,0.000,0.000,135620.875,136871.906,136840.094,86296.398,144186.953,0.000,0.000,0.000,0.000,0.000,50.622,0.000,0.930,0.926,0.954,0.910,-0.675,-0.806,-0.867,-1.000,1.000,1.001,1.000,0.998,0.000,-0.862,-1.000,-0.964,1.088,1.964,1.824,4.169,-0.465,-1.204,-83.632,-85.301,0.125,0.273,0.238,0.388,-0.093,-0.686,-16.268,-16.593,1.228,2.142,22.648,22.648,0.000,0.000,0.000,0.000,560.249,607.555,620.788,596.197,0.002,-0.001,-0.116,-0.115,-0.000,-0.000,-0.023,-0.023,0.002,0.000,0.047,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/11,10:16:43,236.55,237.00,236.22,236.52,0.00,410.34,408.72,409.91,409.65,1.74,3.62,5.29,3.58,5.15,50.04,0.701,0.577,0.904,0.746,0.979,0.989,0.998,0.992,0.40,0.55,1.18,2.12,-0.08,-0.08,0.07,-0.09,0.60,0.94,1.31,2.85,8935,5211,7569,21715,7340,6527,7536,21403,1379,1211,1290,3880,1406,2015,1535,4956,16793,12536,16757,46086,1.927,1.816,1.736,1.926,1.815,1.734,0.053,0.052,0.082,26.680,117.728,33.690,26.653,117.726,32.636,1.207,0.620,8.363,330.617,331.335,330.710,1.398,1.398,1.400,1.803,3.621,2.350,2.261,25.642,5.512,0.177,0.228,32.541,36.601,0.000,239.889,120.234,13.816,241.400,116.279,239.889,240.346,120.234,130.201,124.787,254.988,346.184,358.488,3.955,236.661,237.203,236.466,236.707,0.000,236.383,236.777,236.031,236.515,0.000,410.704,409.156,410.275,409.746,410.052,408.399,409.588,409.532,2.241,3.953,5.452,3.620,5.451,1.679,3.595,5.235,3.585,5.076,50.044,50.040,0.727,0.584,0.908,0.764,0.701,0.576,0.904,0.746,0.982,0.991,0.999,0.993,0.979,0.989,0.997,0.992,0.398,0.547,1.186,2.130,0.395,0.546,1.179,2.124,-0.075,-0.081,0.071,-0.087,-0.079,-0.087,0.069,-0.097,0.600,0.969,1.307,2.845,0.543,0.937,1.297,2.778,560.249,607.555,620.788,596.197,0.002,-0.001,-0.116,-0.115,-0.000,-0.000,-0.023,-0.023,0.002,0.000,0.047,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/11,10:16:48,236.51,237.06,236.23,236.50,0.00,410.46,408.73,409.78,409.66,1.84,3.60,5.30,3.66,5.07,50.04,0.725,0.578,0.907,0.759,0.982,0.989,0.998,0.993,0.40,0.55,1.18,2.12,-0.08,-0.08,0.07,-0.09,0.54,0.95,1.29,2.79,8936,5211,7571,21718,7340,6527,7536,21403,1379,1211,1290,3880,1406,2015,1535,4956,16794,12538,16759,46091,1.913,1.838,1.754,1.910,1.837,1.754,0.096,0.071,0.045,23.542,116.991,33.271,23.510,116.989,32.094,1.224,0.701,8.772,330.399,331.088,330.235,1.397,1.397,1.398,1.918,3.641,2.372,2.257,25.281,5.520,0.190,0.215,21.884,53.818,0.000,239.836,120.182,33.557,222.223,120.955,239.836,240.328,120.182,171.000,95.941,266.941,326.443,17.613,359.227,236.717,237.230,236.432,236.631,0.000,236.351,236.797,236.031,236.451,0.000,410.757,409.108,410.259,409.740,409.952,408.334,409.618,409.424,2.253,3.939,5.467,3.656,5.307,1.621,3.604,5.218,3.585,5.015,50.049,50.043,0.725,0.584,0.908,0.762,0.700,0.577,0.904,0.746,0.985,0.991,0.999,0.993,0.979,0.989,0.998,0.992,0.398,0.548,1.182,2.126,0.396,0.546,1.177,2.120,-0.074,-0.080,0.073,-0.081,-0.076,-0.082,0.069,-0.087,0.600,0.954,1.312,2.845,0.543,0.935,1.295,2.791,560.249,607.555,620.788,596.197,0.002,-0.001,-0.116,-0.115,-0.000,-0.000,-0.023,-0.023,0.002,0.000,0.047,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/11,10:16:53,236.60,237.20,236.32,236.75,0.00,410.41,408.88,410.15,409.81,1.73,3.62,5.27,3.61,5.05,50.05,0.705,0.574,0.909,0.762,0.985,0.991,0.998,0.994,0.40,0.55,1.18,2.13,-0.08,-0.08,0.07,-0.08,0.55,0.94,1.30,2.79,8936,5212,7572,21720,7340,6527,7536,21403,1379,1211,1290,3880,1406,2015,1535,4956,16795,12539,16761,46095,1.856,1.769,1.671,1.855,1.768,1.670,0.060,0.055,0.066,23.023,116.416,33.086,22.972,116.386,31.928,1.527,2.632,8.676,330.328,331.291,330.325,1.396,1.397,1.398,1.945,3.520,2.413,2.218,24.843,5.408,0.146,0.258,24.270,45.529,0.000,239.959,120.287,4.535,217.002,119.549,239.959,240.328,120.287,147.182,97.453,244.635,355.465,22.957,0.738,236.818,237.327,236.523,236.800,0.000,236.478,236.983,236.142,236.504,0.000,410.741,409.320,410.503,409.993,410.318,408.535,409.718,409.633,2.088,4.006,5.449,3.741,5.611,1.672,3.589,5.226,3.561,5.017,50.054,50.043,0.725,0.583,0.909,0.762,0.699,0.573,0.900,0.757,0.982,0.991,0.999,0.994,0.982,0.989,0.998,0.993,0.399,0.549,1.185,2.131,0.395,0.547,1.176,2.119,-0.075,-0.079,0.071,-0.082,-0.077,-0.085,0.068,-0.092,0.564,0.955,1.306,2.812,0.543,0.933,1.295,2.792,560.249,607.555,620.788,596.197,0.002,-0.001,-0.116,-0.115,-0.000,-0.000,-0.023,-0.023,0.002,0.000,0.047,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/11,10:16:58,236.64,237.22,236.43,236.70,0.00,410.32,409.16,410.29,409.92,1.80,3.69,5.36,3.59,5.02,50.05,0.716,0.586,0.909,0.763,0.979,0.991,0.998,0.993,0.39,0.55,1.18,2.13,-0.08,-0.08,0.07,-0.09,0.55,0.94,1.30,2.79,8937,5213,7574,21724,7340,6527,7536,21403,1379,1211,1290,3880,1406,2016,1535,4957,16796,12541,16763,46100,1.857,1.782,1.661,1.856,1.781,1.661,0.067,0.073,0.030,23.469,116.187,33.073,23.438,116.173,31.945,1.223,1.833,8.565,330.343,331.133,330.258,1.396,1.396,1.397,1.892,3.608,2.513,2.195,24.873,5.461,0.107,0.242,27.819,45.054,0.000,240.029,120.287,19.178,225.053,109.160,240.029,240.258,120.287,117.756,151.893,269.648,340.822,14.977,11.127,236.778,237.367,236.519,236.829,0.000,236.488,237.109,236.256,236.705,0.000,410.742,409.342,410.535,410.052,410.235,408.732,409.969,409.828,2.076,3.790,5.426,3.679,5.143,1.637,3.575,5.200,3.538,4.983,50.056,50.051,0.725,0.589,0.910,0.766,0.705,0.574,0.906,0.757,0.985,0.991,0.999,0.994,0.982,0.989,0.998,0.993,0.398,0.549,1.186,2.130,0.395,0.547,1.176,2.121,-0.074,-0.079,0.073,-0.082,-0.079,-0.085,0.068,-0.092,0.569,0.946,1.307,2.815,0.545,0.931,1.294,2.775,560.249,607.555,620.788,596.197,0.002,-0.001,-0.116,-0.115,-0.000,-0.000,-0.023,-0.023,0.002,0.000,0.047,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/11,10:17:03,236.47,237.03,236.01,236.50,0.00,410.22,408.65,409.56,409.48,1.86,3.66,5.33,3.60,5.06,50.05,0.719,0.584,0.909,0.759,0.985,0.989,0.998,0.993,0.40,0.55,1.18,2.12,-0.07,-0.08,0.07,-0.08,0.55,0.94,1.31,2.80,8937,5214,7576,21727,7340,6527,7536,21403,1379,1211,1290,3880,1406,2016,1535,4957,16796,12542,16765,46103,1.878,1.797,1.689,1.877,1.796,1.686,0.081,0.072,0.095,26.844,117.322,33.598,26.801,117.319,32.391,1.526,0.837,8.921,330.446,331.119,330.163,1.397,1.397,1.399,1.969,3.534,2.440,2.219,25.152,5.429,0.149,0.202,29.468,39.325,0.000,239.924,120.182,348.188,218.795,114.152,239.924,240.258,120.182,128.250,104.643,232.893,11.813,21.129,6.029,236.684,237.244,236.434,236.708,0.000,236.303,236.887,235.971,236.504,0.000,410.569,409.157,410.340,409.875,409.818,408.298,409.469,409.471,2.159,3.910,5.482,3.596,5.454,1.650,3.601,5.247,3.547,5.010,50.053,50.047,0.723,0.586,0.909,0.763,0.710,0.583,0.900,0.758,0.985,0.991,0.999,0.994,0.979,0.989,0.998,0.993,0.397,0.549,1.185,2.129,0.392,0.547,1.179,2.121,-0.074,-0.077,0.070,-0.083,-0.077,-0.080,0.068,-0.088,0.554,0.944,1.312,2.801,0.548,0.932,1.298,2.787,560.249,607.555,620.788,596.197,0.002,-0.001,-0.116,-0.115,-0.000,-0.000,-0.023,-0.023,0.002,0.000,0.047,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/11,10:17:08,236.17,236.81,235.78,236.47,0.00,409.67,408.12,409.32,409.04,1.91,3.69,5.30,3.60,5.08,50.05,0.723,0.584,0.911,0.762,0.982,0.991,0.998,0.993,0.40,0.55,1.19,2.13,-0.08,-0.08,0.07,-0.09,0.55,0.94,1.30,2.80,8938,5214,7577,21729,7340,6527,7536,21403,1379,1211,1290,3880,1406,2016,1535,4957,16797,12543,16767,46107,1.876,1.695,1.695,1.871,1.693,1.695,0.139,0.081,0.034,28.177,118.187,32.873,28.158,118.179,31.699,1.038,1.346,8.709,330.205,330.962,329.943,1.397,1.397,1.399,1.941,3.666,2.349,2.212,26.564,5.500,0.154,0.253,28.425,43.819,0.000,239.977,120.287,348.152,213.047,119.303,239.977,240.293,120.287,135.105,93.762,219.270,11.848,26.930,0.984,236.531,237.143,236.180,236.529,0.000,236.174,236.733,235.716,236.308,0.000,410.322,408.819,409.900,409.518,409.667,408.066,409.144,409.163,2.293,3.870,5.564,3.635,5.195,1.648,3.602,5.261,3.576,5.040,50.052,50.047,0.727,0.586,0.911,0.766,0.696,0.582,0.901,0.749,0.985,0.991,0.999,0.994,0.982,0.989,0.998,0.993,0.397,0.549,1.187,2.132,0.395,0.547,1.181,2.123,-0.073,-0.079,0.070,-0.083,-0.076,-0.085,0.067,-0.093,0.600,0.944,1.313,2.845,0.546,0.934,1.300,2.782,560.249,607.555,620.788,596.197,0.002,-0.001,-0.116,-0.115,-0.000,-0.000,-0.023,-0.023,0.002,0.000,0.047,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/11,10:17:13,236.51,237.04,236.04,236.54,0.00,410.18,408.63,409.76,409.53,1.76,3.66,5.38,3.59,5.17,50.05,0.698,0.583,0.903,0.755,0.982,0.991,0.999,0.994,0.40,0.55,1.19,2.13,-0.08,-0.08,0.07,-0.10,0.55,0.94,1.33,2.82,8938,5215,7579,21732,7340,6527,7536,21403,1379,1211,1291,3881,1406,2016,1535,4957,16798,12545,16768,46111,1.854,1.700,1.660,1.853,1.699,1.659,0.062,0.045,0.058,23.619,118.574,32.656,23.605,118.570,31.446,0.814,0.991,8.807,330.378,330.977,330.119,1.397,1.396,1.399,1.982,3.602,2.379,2.241,26.914,5.479,0.154,0.236,59.071,43.496,0.000,239.959,120.252,22.605,274.693,96.275,239.959,240.293,120.252,107.930,172.441,286.910,337.395,325.266,23.977,236.629,237.125,236.236,236.540,0.000,236.222,236.631,235.803,236.466,0.000,410.440,408.905,409.975,409.544,409.611,408.173,409.304,409.066,2.234,3.950,5.565,3.699,5.439,1.671,3.609,5.268,3.595,5.037,50.053,50.050,0.723,0.584,0.911,0.762,0.698,0.580,0.901,0.751,0.982,0.991,0.999,0.994,0.982,0.989,0.998,0.993,0.398,0.549,1.187,2.133,0.396,0.547,1.185,2.129,-0.075,-0.082,0.068,-0.093,-0.079,-0.087,0.063,-0.102,0.572,0.960,1.329,2.835,0.542,0.935,1.303,2.795,560.249,607.555,620.788,596.197,0.002,-0.001,-0.116,-0.115,-0.000,-0.000,-0.023,-0.023,0.002,0.000,0.047,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/11,10:17:18,236.53,237.07,236.13,236.54,0.00,410.17,408.88,409.78,409.61,1.75,3.70,5.38,3.56,5.14,50.06,0.686,0.580,0.910,0.751,0.985,0.991,0.999,0.994,0.40,0.55,1.19,2.14,-0.08,-0.08,0.07,-0.09,0.59,0.94,1.31,2.84,8939,5216,7581,21736,7340,6527,7536,21403,1379,1211,1291,3881,1406,2016,1535,4957,16799,12546,16770,46115,1.825,1.700,1.638,1.824,1.698,1.634,0.051,0.084,0.111,27.668,116.595,33.047,27.640,116.585,31.835,1.229,1.470,8.871,330.269,330.809,329.926,1.397,1.396,1.397,2.169,3.697,2.356,2.257,26.465,5.375,0.113,0.214,57.015,23.499,0.000,239.994,120.217,359.543,286.277,122.906,239.994,240.223,120.217,73.652,163.389,237.041,0.457,313.717,357.311,236.719,237.236,236.308,236.680,0.000,236.450,236.983,236.027,236.540,0.000,410.536,409.099,410.311,409.805,410.025,408.309,409.729,409.532,2.388,4.163,5.534,3.672,5.417,1.651,3.597,5.269,3.560,5.053,50.057,50.050,0.723,0.584,0.910,0.764,0.686,0.571,0.903,0.751,0.982,0.991,0.999,0.994,0.982,0.989,0.998,0.993,0.398,0.547,1.197,2.140,0.396,0.545,1.186,2.130,-0.075,-0.081,0.068,-0.088,-0.079,-0.085,0.065,-0.096,0.589,0.983,1.329,2.843,0.547,0.932,1.306,2.798,560.249,607.555,620.788,596.197,0.002,-0.001,-0.116,-0.115,-0.000,-0.000,-0.023,-0.023,0.002,0.000,0.047,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
2026/08/11,10:17:23,236.38,236.78,235.73,236.30,0.00,409.96,408.29,409.23,409.16,1.75,3.64,5.34,3.62,5.20,50.05,0.705,0.574,0.902,0.755,0.982,0.989,0.998,0.993,0.40,0.55,1.19,2.14,-0.08,-0.08,0.07,-0.09,0.56,0.94,1.33,2.83,8940,5217,7582,21739,7340,6527,7536,21403,1379,1211,1291,3881,1407,2016,1535,4958,16800,12547,16772,46119,1.904,1.740,1.706,1.902,1.737,1.704,0.087,0.101,0.071,21.316,116.537,33.464,21.287,116.526,32.272,1.118,1.630,8.851,330.055,330.547,329.533,1.396,1.396,1.398,1.906,3.625,2.313,2.200,25.997,5.384,0.184,0.194,52.218,39.329,0.000,239.906,120.182,27.123,269.807,104.414,239.906,240.275,120.182,117.316,158.467,276.715,332.877,330.100,15.768,236.703,237.187,236.229,236.621,0.000,236.356,236.730,235.537,236.295,0.000,410.547,409.055,410.190,409.691,409.651,408.247,409.232,409.163,2.256,3.936,5.565,3.647,5.637,1.650,3.573,5.267,3.542,5.024,50.056,50.049,0.725,0.584,0.910,0.762,0.686,0.574,0.902,0.751,0.985,0.991,0.999,0.994,0.982,0.989,0.998,0.993,0.401,0.546,1.194,2.136,0.395,0.545,1.188,2.130,-0.074,-0.081,0.068,-0.088,-0.077,-0.085,0.063,-0.096,0.589,0.951,1.331,2.843,0.542,0.932,1.308,2.799,560.249,607.555,620.788,596.197,0.002,-0.001,-0.116,-0.115,-0.000,-0.000,-0.023,-0.023,0.002,0.000,0.047,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,
